1|1|108|126|83|88|P|S|0
1|1|109|85|117|106|1S|N|7|SJ
1|1|124|33|94|125|3S|N|7|CK
1|1|16|110|15|95|2S|N|8|CK
1|1|31|59|134|34|2S|N|8|CK
1|1|4|100|23|12|3S|N|7|H9
1|1|41|74|3|75|P|S|0
1|1|42|2|84|18|3S|N|7|CK
1|1|43|129|58|62|3H|S|6|CA
1|1|44|77|63|38|2S|N|8|CK
1|1|45|92|37|131|P|S|0
1|1|48|114|133|64|3S|N|7|CK
1|1|5|14|25|93|3N|W|8|D2
1|1|52|28|78|30|P|S|0
1|1|54|66|87|72|P|S|0
1|1|56|29|121|32|3S|N|7|SJ
1|1|6|105|60|89|2S|N|7|CK
1|1|68|11|101|65|2S|S|7|D5
1|1|82|116|10|46|3N|W|8|D2
1|1|9|90|73|119|3S|N|7|CK
1|1|91|8|76|7|3C|E|9|HK
1|1|97|35|20|47|1N|E|9|H3
1|10|108|126|83|88|2H|N|7|D8
1|10|109|85|117|106|3H|N|7|D4
1|10|124|33|94|125|4HX|N|6|D4
1|10|16|110|15|95|2H|N|7|D7
1|10|31|59|134|34|3N|N|6|D7
1|10|4|100|23|12|3S|S|7|DJ
1|10|41|74|3|75|3C|N|9|D8
1|10|42|2|84|18|3D|E|6|SK
1|10|43|129|58|62|2N|N|8|D4
1|10|44|77|63|38|4HX|N|7|D7
1|10|45|92|37|131|2N|N|7|D7
1|10|48|114|133|64|3C|N|8|D4
1|10|5|14|25|93|3N|S|7|DJ
1|10|52|28|78|30|3D|E|6|SK
1|10|54|66|87|72|2S|S|7|D6
1|10|56|29|121|32|3H|N|5|H7
1|10|6|105|60|89|2H|N|8|D4
1|10|68|11|101|65|3S|S|7|DT
1|10|82|116|10|46|3D|E|7|SK
1|10|9|90|73|119|2D|E|7|SK
1|10|91|8|76|7|2S|S|7|H3
1|10|97|35|20|47|3S|S|8|DJ
1|11|108|126|83|88|4C|W|10|D3
1|11|109|85|117|106|4S|N|9|C3
1|11|124|33|94|125|3S|N|9|C2
1|11|16|110|15|95|4S|N|8|C3
1|11|31|59|134|34|3S|N|9|C3
1|11|4|100|23|12|4S|N|8|C3
1|11|41|74|3|75|4SX|N|8|H9
1|11|42|2|84|18|4S|N|9|C3
1|11|43|129|58|62|3C|W|9|HA
1|11|44|77|63|38|4S|N|9|C3
1|11|45|92|37|131|3S|N|8|C3
1|11|48|114|133|64|4S|N|9|C3
1|11|5|14|25|93|4C|W|9|S5
1|11|52|28|78|30|3N|E|9|S7
1|11|54|66|87|72|4S|N|9|C3
1|11|56|29|121|32|4S|N|8|C3
1|11|6|105|60|89|4S|N|9|C3
1|11|68|11|101|65|3S|N|8|C3
1|11|82|116|10|46|5CX|W|9|HA
1|11|9|90|73|119|4S|N|9|C3
1|11|91|8|76|7|4S|N|8|C2
1|11|97|35|20|47|4S|N|8|C3
1|12|108|126|83|88|3N|S|12|S3
1|12|109|85|117|106|6N|S|11|S8
1|12|124|33|94|125|3N|S|11|H3
1|12|16|110|15|95|3N|S|11|H5
1|12|31|59|134|34|3N|S|12|H5
1|12|4|100|23|12|4N|S|11|H5
1|12|41|74|3|75|5S|N|11|HJ
1|12|42|2|84|18|6N|S|11|S3
1|12|43|129|58|62|4S|S|12|H3
1|12|44|77|63|38|6N|S|11|DJ
1|12|45|92|37|131|3N|N|10|HJ
1|12|48|114|133|64|3N|N|10|HJ
1|12|5|14|25|93|3N|S|11|S8
1|12|52|28|78|30|6N|S|11|H4
1|12|54|66|87|72|6N|N|11|H3
1|12|56|29|121|32|3N|S|11|H5
1|12|6|105|60|89|4N|S|11|H5
1|12|68|11|101|65|3N|N|11|HJ
1|12|82|116|10|46|4N|S|11|HJ
1|12|9|90|73|119|3N|S|11|H3
1|12|91|8|76|7|5C|N|10|HJ
1|12|97|35|20|47|6N|N|11|HJ
1|13|108|126|83|88|3D|N|8|C8
1|13|109|85|117|106|2H|W|8|D8
1|13|124|33|94|125|2H|E|7|SQ
1|13|16|110|15|95|3D|N|8|C7
1|13|31|59|134|34|2H|W|7|D8
1|13|4|100|23|12|2H|W|8|D3
1|13|41|74|3|75|1N|E|7|SQ
1|13|42|2|84|18|2H|W|8|D3
1|13|43|129|58|62|3H|E|8|DQ
1|13|44|77|63|38|3D|N|8|C7
1|13|45|92|37|131|2H|W|8|D3
1|13|48|114|133|64|2H|W|7|SK
1|13|5|14|25|93|1N|W|7|D8
