Players,Count,IMPs,Bid,Play,Decl,#,Def,#,Decl1,#,Decl2,#,
Rafal Jagniewski - Wojciech Gawel,176,0.93,0.50,0.44,0.32,95,  0.58,80,0.10,39,0.48,56,
Ferit Tavlan - Bernhard Kaiser,144,0.90,0.62,0.27,0.84,60,  -0.13,83,0.38,32,1.36,28,
Leszek Molak - Wlodzimierz Duszynski,96,0.87,0.23,0.64,1.13,45,  0.22,51,1.81,20,0.58,25,
Dr. Roland Voigt - Ulrich Voigt,208,0.82,0.49,0.33,0.39,104,  0.27,104,0.82,61,-0.22,43,
Georgios Mavridis - Karin Mavridis,208,0.82,0.50,0.31,0.32,126,  0.31,82,0.62,69,-0.06,57,
Karl Wartlick - Dieter Laidig,192,0.77,0.56,0.22,0.30,92,  0.14,97,0.94,42,-0.23,50,
Martin Wüst - Vitaliy Khanukov,192,0.63,0.43,0.20,0.26,97,  0.14,95,-0.04,46,0.54,51,
Christian Schlicker - Dr. Claus Günther,176,0.63,0.51,0.11,0.34,91,  -0.13,85,0.80,43,-0.08,48,
Wolfhart Umlauft - Dr. Marcel Aebi,192,0.59,0.36,0.24,0.50,102,  -0.06,90,0.95,52,0.03,50,
Herbert Klumpp - Reiner Marsal,288,0.59,-0.04,0.63,0.53,144,  0.73,143,0.39,66,0.65,78,
Elke Weber - Susanne Kriftner,112,0.59,0.67,-0.09,0.12,59,  -0.32,53,0.61,35,-0.60,24,
Max Neumann - Vladimir Belfermann,288,0.58,0.27,0.31,0.20,156,  0.43,131,0.46,70,-0.00,86,
Philipp Pabst - Sibrand van Oosten,288,0.57,0.31,0.26,0.36,133,  0.18,153,-0.31,58,0.89,75,
Peter Jokisch - Udo Kasimir,192,0.52,0.43,0.09,0.47,113,  -0.44,79,0.22,63,0.78,50,
Annaig Della Monta - Dr. Alfred Berthold,160,0.51,0.33,0.17,-0.09,73,  0.40,86,0.06,41,-0.30,32,
Klaus Spiegelberg - Asok Lean,160,0.50,0.56,-0.07,-0.10,80,  -0.04,78,-0.04,45,-0.17,35,
Dr. Regine Neuhauser-Riess - Erhard Sternheimer,96,0.49,0.28,0.20,0.22,48,  0.19,48,-0.34,29,1.06,19,
Frederic Boldt - Tilman Oeckinghaus,255,0.46,0.40,0.05,0.10,128,  0.01,126,0.10,70,0.09,58,
Robert Maybach - Wolf Stahl,192,0.45,0.12,0.33,0.36,106,  0.30,84,0.56,47,0.21,59,
Henning Bohnsack - Bernd Donner,192,0.45,0.25,0.20,-0.06,110,  0.56,81,-0.03,49,-0.08,61,
Jörg Fritsche - Klaus Reps,160,0.44,0.16,0.28,0.36,81,  0.20,79,0.51,36,0.24,45,
Jochen Bitschene - Sebastian Reim,96,0.43,0.33,0.10,0.40,44,  -0.15,52,0.01,23,0.83,21,
Andrzej Konczak - Peter Kazub,128,0.42,0.47,-0.05,0.19,62,  -0.28,66,0.75,31,-0.37,31,
Andreas Böhmer - Erhard Sternheimer,128,0.42,0.05,0.36,0.66,57,  0.12,71,1.30,28,0.05,29,
Paul Grünke - Roland Rohowsky,208,0.38,0.11,0.27,0.22,94,  0.31,114,0.23,45,0.22,49,
Ingeborg Metzler - Bernd Metzler,256,0.38,0.19,0.19,0.14,118,  0.24,136,-0.38,51,0.53,67,
Dr. Richard Bley - Raffael Braun,144,0.37,0.14,0.23,0.05,60,  0.37,82,0.78,28,-0.60,32,
Miklos Dumbovich - Dr. Josef Harsanyi,208,0.37,0.29,0.08,-0.11,102,  0.27,104,0.12,63,-0.47,39,
Jan van Oosten - Dr. Ansgar Seiter,192,0.36,0.00,0.36,0.26,94,  0.46,98,-0.33,50,0.93,44,
Loek Fresen - Waltraud Vogt,192,0.33,-0.03,0.35,0.08,103,  0.67,89,0.13,59,0.01,44,
Adam Meyerson - Elianna Meyerson,128,0.32,0.20,0.12,-0.24,67,  0.53,61,-0.85,31,0.28,36,
Leo Petrak - Detlef Karcher,176,0.31,0.30,0.01,-0.15,91,  0.17,84,-0.34,45,0.04,46,
Jacek Lesniczak - Janko Katerbau,128,0.30,0.06,0.24,0.06,59,  0.39,69,0.42,32,-0.38,27,
Josias Prinz zu Waldeck - Leonard Vornkahl,128,0.29,-0.03,0.32,0.88,61,  -0.20,66,0.95,34,0.80,27,
Martin Jentsch - Dr. Michael Dierich,223,0.27,0.39,-0.12,0.16,106,  -0.38,116,0.40,51,-0.07,55,
Rolf Beckmann - Wolfram Rach,192,0.27,0.06,0.21,0.45,96,  -0.02,94,0.92,51,-0.09,45,
Hartmut Brückner - Ralf Speckmann,208,0.25,0.14,0.11,0.17,94,  0.06,112,0.36,54,-0.08,40,
Martin Meckel - Bettina Kaiser,144,0.25,0.46,-0.21,-0.19,83,  -0.25,60,-0.17,35,-0.20,48,
Franz-Jürgen Röttger - Kerstin Sosnowski,224,0.24,0.35,-0.11,-0.01,122,  -0.23,100,0.16,63,-0.19,59,
Jochen Bitschene - Daniela von Arnim,96,0.24,-0.37,0.61,0.46,49,  0.76,47,0.70,19,0.32,30,
Robert Koch - Uwe Siedenburg,192,0.23,0.02,0.21,0.39,91,  0.05,98,0.31,45,0.46,46,
Pony Nehmert - Christian Fröhner,112,0.22,0.15,0.07,0.05,52,  0.08,60,0.48,23,-0.29,29,
Beatrix Wodniansky - Werner Kühn,176,0.21,-0.05,0.26,0.30,78,  0.23,96,0.37,43,0.21,35,
Tobias Förster - Tobias Müller,192,0.20,-0.06,0.26,0.27,111,  0.25,81,0.11,61,0.47,50,
Lukas Kautzsch - Arne Siegel,128,0.19,0.11,0.08,0.27,68,  -0.14,60,0.26,42,0.29,26,
Norbert Stübinger - Thomas Martin,160,0.18,0.06,0.12,0.24,85,  -0.01,74,0.41,47,0.03,38,
Hans Frerichs - Ulrich Wenning,192,0.18,-0.06,0.24,0.42,83,  0.11,108,0.54,46,0.26,37,
Max Ellerbeck - David Cole,224,0.16,0.15,0.02,0.05,120,  -0.02,103,0.26,52,-0.11,68,
Matthias Stenneken - Ralf Wollenberg,192,0.16,0.26,-0.10,-0.02,93,  -0.19,98,0.53,47,-0.58,46,
Berthold Engel - Alexander Wodniansky,176,0.15,0.16,-0.01,0.25,96,  -0.33,80,0.04,51,0.50,45,
Joachim Cappeller - Clemens Oelker,144,0.15,0.35,-0.20,0.14,78,  -0.59,66,0.22,48,0.00,30,
Philip Calder - Cumhur Kirdemir,192,0.15,0.23,-0.08,0.23,92,  -0.37,98,-0.03,42,0.44,50,
Markus Eble - Uwe Gebhardt,224,0.14,0.27,-0.13,0.08,112,  -0.34,111,0.33,55,-0.17,57,
Michael Pauly - Dr. Bernhard Kopp,192,0.12,0.05,0.07,0.08,93,  0.05,99,-0.17,44,0.30,49,
Gisela Smykalla - Dr. Michael Schneider,96,0.11,-0.40,0.51,0.13,48,  0.89,48,0.43,26,-0.23,22,
Avram Kreisberger - Ulrich Däullary,192,0.11,0.10,0.01,-0.18,93,  0.19,98,0.10,43,-0.42,50,
Julius Linde - Christian Schwerdt,112,0.10,0.02,0.07,0.33,53,  -0.16,57,0.52,26,0.16,27,
Ingo Schmid - Lutz Narajek,128,0.09,0.15,-0.06,0.16,72,  -0.34,56,0.56,41,-0.36,31,
Alexander Rapoport - Alexei Vinogradov,160,0.08,0.21,-0.13,0.15,86,  -0.45,74,0.31,41,-0.00,45,
Matthias Voigt - Dr. Gerold Wieber,208,0.08,0.05,0.03,-0.08,105,  0.16,100,0.05,48,-0.19,57,
Robert Jaßniger - Christian Glubrecht,192,0.07,-0.19,0.26,0.26,87,  0.27,104,-0.28,33,0.59,54,
Dr. Ralf Schlotmann - Ulrich Trepnau,224,0.07,0.08,-0.01,0.17,106,  -0.18,116,0.04,61,0.35,45,
Norbert Keßler - Vera Waaga,96,0.06,0.15,-0.10,-0.36,39,  0.08,57,0.64,15,-0.98,24,
Martin Werner - Dr. Michael Kammermeier,160,0.05,-0.08,0.13,0.16,93,  0.08,67,-0.08,32,0.29,61,
Heini Berger - Axel Sawal,192,0.04,0.44,-0.39,-0.19,98,  -0.60,94,-0.24,49,-0.14,49,
Florian Alter - Hartmut Kondoch,160,0.04,-0.06,0.11,0.14,82,  0.08,77,0.10,47,0.19,35,
Michael Haffer - Sven Krupp,208,0.04,0.09,-0.06,-0.05,97,  -0.06,110,-0.40,47,0.27,50,
Mirja Schraverus-Meuer - Axel Meuer,192,0.02,0.12,-0.10,0.21,88,  -0.37,102,0.40,52,-0.06,36,
Andreas Babsch - Nikolas Bausback,128,0.01,-0.15,0.16,0.00,73,  0.38,55,0.33,40,-0.40,33,
Dr. Wendelin Albert - Hans-Jörge Schinze,160,0.01,-0.02,0.02,0.30,77,  -0.24,83,0.11,38,0.49,39,
Dr. Rolf Kühn - Dr. Frank Pioch,159,-0.00,0.23,-0.24,0.53,78,  -1.00,79,0.50,41,0.57,37,
Torsten Waaga - Ulrich Bongartz,96,-0.02,0.00,-0.02,0.01,53,  -0.06,42,0.73,28,-0.79,25,
Udo Kreimeyer - Wolfgang Sonntag,192,-0.02,-0.29,0.27,0.21,79,  0.31,113,-0.02,38,0.43,41,
Gisela Smykalla - Claudia Lüßmann,128,-0.03,-0.05,0.02,-0.29,56,  0.26,72,-0.49,27,-0.10,29,
Frank Reichelt - Dr. Jean Georgiades,223,-0.04,0.01,-0.05,-0.04,107,  -0.06,114,-0.24,58,0.20,49,
Radu Gliga - Dr. Michael Stumpf,192,-0.04,0.25,-0.29,-0.21,97,  -0.38,93,-0.22,47,-0.20,50,
Ulf Bormann - Christine Kraus,160,-0.05,-0.02,-0.02,0.10,80,  -0.15,80,0.05,37,0.15,43,
Michael Hornbrook - Dr. Ilan Wolff,96,-0.05,0.01,-0.05,-0.77,42,  0.50,54,-0.77,22,-0.77,20,
Hema Adhikary - Ingrid Gromann,208,-0.05,0.04,-0.09,0.21,106,  -0.40,102,0.25,57,0.16,49,
Matthias Schüller - Paul Orth,192,-0.05,0.15,-0.20,-0.26,98,  -0.13,94,-0.57,53,0.11,45,
Jürgen Sander - Dr. Bettina Bohnhorst,288,-0.05,-0.10,0.05,0.06,132,  0.04,155,-0.32,62,0.40,70,
Gerda Heinrichs - Karin Wenning,192,-0.06,-0.22,0.16,0.16,95,  0.15,97,0.26,40,0.09,55,
Dr. Peter Freche - Dr. Karl-Heinz Kaiser,208,-0.07,-0.03,-0.04,-0.27,103,  0.20,103,-0.17,51,-0.37,52,
Frank-Onno Bettermann - Björn Janson,159,-0.07,-0.34,0.27,0.48,84,  0.03,74,0.61,41,0.36,43,
Stanislaus Kosikowski - Thomas Schmitt,128,-0.08,0.07,-0.14,-0.09,72,  -0.22,55,0.35,38,-0.58,34,
Uwe Schoolmann - Dr. Annikki Schoolmann,224,-0.08,0.18,-0.26,0.01,115,  -0.56,108,0.39,67,-0.52,48,
Helmut Häusler - Michael Gromöller,112,-0.08,-0.15,0.06,-0.04,52,  0.16,59,-0.12,23,0.02,29,
Ulrich Kratz - Bernhard Sträter,192,-0.09,0.05,-0.14,-0.21,88,  -0.08,104,-0.20,41,-0.22,47,
Helmut Franke - Thomas Steins,288,-0.09,-0.02,-0.07,-0.51,123,  0.26,164,-0.62,56,-0.42,67,
Anja Alberti - Anne Gladiator,175,-0.09,0.03,-0.13,-0.28,89,  0.04,86,-0.05,49,-0.56,40,
Dr. Peer Köster - Horst Hübner,192,-0.10,0.02,-0.12,0.02,85,  -0.24,106,0.34,45,-0.35,40,
Joachim Hegener - Ulrike Köppchen,192,-0.11,-0.01,-0.10,-0.18,92,  -0.02,100,0.61,55,-1.37,37,
Kareen Schroeder - Dirk Schroeder,272,-0.11,-0.18,0.07,0.11,142,  0.03,128,0.37,90,-0.34,52,
Boris Yavlinsky - Dr. Gerhard Thurn,192,-0.12,-0.16,0.04,0.32,91,  -0.21,99,0.28,47,0.35,44,
Oliver Hevemeier - Wolfram von Alvensleben,191,-0.13,-0.05,-0.07,0.23,85,  -0.32,105,0.73,45,-0.34,40,
