Players,Count,IMPs,Bid,Play,Decl,#,Def,#,Decl1,#,Decl2,#,
Jochen Bitschene - Sebastian Reim,96,0.69,0.62,0.07,0.20,44,  -0.03,52,0.02,23,0.40,21,
Herbert Klumpp - Reiner Marsal,288,0.64,0.25,0.39,0.23,144,  0.55,143,0.34,66,0.14,78,
Elke Weber - Susanne Kriftner,112,0.54,0.51,0.03,0.19,59,  -0.15,53,0.42,35,-0.15,24,
Frederic Boldt - Tilman Oeckinghaus,255,0.39,0.25,0.14,0.20,128,  0.08,126,0.39,70,-0.04,58,
Miklos Dumbovich - Dr. Josef Harsanyi,208,0.37,0.24,0.14,-0.07,102,  0.34,104,0.24,63,-0.57,39,
Pony Nehmert - Christian Fröhner,112,0.36,0.19,0.17,0.32,52,  0.04,60,0.68,23,0.04,29,
Mirja Schraverus-Meuer - Axel Meuer,192,0.23,0.19,0.05,0.26,88,  -0.13,102,0.37,52,0.10,36,
Gisela Smykalla - Dr. Michael Schneider,96,0.23,-0.34,0.57,0.36,48,  0.78,48,0.21,26,0.55,22,
Gisela Smykalla - Claudia Lüßmann,128,0.23,0.23,-0.01,-0.13,56,  0.08,72,-0.57,27,0.29,29,
Hartmut Brückner - Ralf Speckmann,208,0.22,0.08,0.14,0.11,94,  0.16,112,0.31,54,-0.15,40,
Heini Berger - Axel Sawal,192,0.16,0.45,-0.28,-0.21,98,  -0.36,94,-0.25,49,-0.17,49,
Max Ellerbeck - David Cole,224,0.00,0.05,-0.05,-0.18,120,  0.09,103,-0.06,52,-0.26,68,
Frank-Onno Bettermann - Björn Janson,159,-0.00,-0.21,0.21,0.48,84,  -0.09,74,0.54,41,0.42,43,
Kareen Schroeder - Dirk Schroeder,272,-0.05,-0.10,0.05,0.00,142,  0.11,128,0.03,90,-0.06,52,
Jochen Bitschene - Daniela von Arnim,96,-0.06,-0.50,0.44,0.15,49,  0.74,47,0.62,19,-0.15,30,
Frank Reichelt - Dr. Jean Georgiades,223,-0.09,-0.06,-0.03,-0.11,107,  0.04,114,-0.17,58,-0.03,49,
Oliver Hevemeier - Wolfram von Alvensleben,191,-0.09,0.05,-0.14,-0.01,85,  -0.25,105,0.31,45,-0.37,40,
Guido Hopfenheit - Jochen Bitschene,96,-0.11,0.21,-0.32,-0.08,61,  -0.77,34,0.46,31,-0.63,30,
Ralf Schmellekamp - Dimitrios Markaris,207,-0.18,-0.10,-0.07,0.12,107,  -0.28,98,0.26,58,-0.05,49,
Ralph Vitters - Udo Petersen,192,-0.20,-0.23,0.03,-0.15,92,  0.21,100,-0.62,49,0.38,43,
Anja Alberti - Anne Gladiator,175,-0.24,-0.03,-0.21,-0.30,89,  -0.12,86,-0.13,49,-0.51,40,
Fried Weber - Jan Sohl,160,-0.26,-0.49,0.23,0.16,78,  0.30,82,0.41,41,-0.12,37,
Felix von Arnim - Heinrich Nowak,192,-0.30,0.01,-0.31,-0.22,87,  -0.38,104,0.08,42,-0.51,45,
Ullrich Jahr - Yordan Boychev,128,-0.30,-0.59,0.29,-0.32,59,  0.82,69,-0.53,30,-0.11,29,
Daniel Buse - Dr. Christian Löwenstein,192,-0.34,0.05,-0.39,-0.56,94,  -0.22,97,-1.27,44,0.06,50,
Felix Schadendorf - Heini Berger,96,-0.43,0.03,-0.45,-0.45,46,  -0.47,48,-1.01,17,-0.12,29,
Ingo Lüßmann - Dr. Michael Schneider,128,-0.43,-0.17,-0.26,-0.22,73,  -0.32,54,-0.11,41,-0.37,32,
Dr. Sören Hein - Stefan Helling,208,-0.45,-0.05,-0.40,-0.44,99,  -0.37,108,-0.59,53,-0.27,46,
Marie Eggeling - Thomas Gotard,191,-0.48,-0.37,-0.10,-0.18,101,  -0.01,90,-0.31,42,-0.10,59,

Players,Count,IMPs,Bid,Play,Decl,#,Def,#,Decl1,#,Decl2,#,
Jan Sohl - Yordan Boychev,32,2.10,1.43,0.67,1.51,15,  -0.06,17,0.30,9,3.31,6,
Kareen Schroeder - Moritz Steindl,16,1.19,0.62,0.56,0.21,9,  1.02,7,0.68,2,0.08,7,
Christian Farwig - Dr. Marcus Joest,64,0.74,0.39,0.35,0.27,35,  0.45,29,0.34,23,0.15,12,
Balasz Szegedi - Dima Nikolenkov,64,0.55,-0.19,0.74,1.15,35,  0.24,29,0.62,15,1.54,20,
Martin Löfgren - Carl Ragnarsson,80,0.33,0.34,-0.01,-0.22,44,  0.25,36,-0.42,23,-0.01,21,
Stephan Magnusson - Balasz Szegedi,64,0.08,0.03,0.05,0.62,36,  -0.68,28,1.07,19,0.12,17,
Fikret Dogan - Ralph Vitters,80,-0.04,-0.24,0.19,0.09,35,  0.27,45,0.10,23,0.08,12,
Dimitrios Markaris - Dr. Marcus Joest,48,-0.32,-0.32,-0.00,-0.02,25,  0.01,23,-0.41,11,0.28,14,
Stephan Magnusson - Dima Nikolenkov,80,-0.46,-0.47,0.01,0.04,37,  -0.01,43,0.50,19,-0.45,18,
Elke Weber - Fried Weber,63,-0.52,-0.03,-0.49,-0.17,37,  -0.94,26,0.14,19,-0.50,18,
Miklos Dumbovich - Moritz Steindl,80,-0.55,-0.43,-0.11,-0.27,40,  0.05,39,-0.24,18,-0.30,22,
Ralph Vitters - Cumhur Kirdemir,16,-0.62,-0.27,-0.35,0.15,7,  -0.74,9,0.18,6,0.00,1,
Stefan Back - Andrea Reim,48,-1.98,-0.98,-1.00,-0.20,22,  -1.74,25,-0.46,13,0.17,9,

