Players,Count,IMPs,Bid,Play,Decl,#,Def,#,Decl1,#,Decl2,#,
Klaus Spiegelberg - Asok Lean,160,0.76,0.68,0.09,0.07,80,  0.10,78,0.16,45,-0.04,35,
Philipp Pabst - Sibrand van Oosten,288,0.59,0.30,0.30,0.26,133,  0.33,153,-0.22,58,0.63,75,
Henning Bohnsack - Bernd Donner,192,0.57,0.30,0.27,0.20,110,  0.37,81,0.48,49,-0.03,61,
Dr. Regine Neuhauser-Riess - Erhard Sternheimer,96,0.53,0.26,0.27,0.48,48,  0.05,48,-0.04,29,1.29,19,
Leszek Molak - Wlodzimierz Duszynski,96,0.45,0.28,0.17,0.57,45,  -0.18,51,1.20,20,0.07,25,
Lukas Kautzsch - Arne Siegel,128,0.44,0.33,0.11,0.42,68,  -0.24,60,0.16,42,0.83,26,
Andreas Böhmer - Erhard Sternheimer,128,0.39,-0.04,0.44,0.90,57,  0.07,71,1.60,28,0.22,29,
Michael Hornbrook - Dr. Ilan Wolff,96,0.29,0.09,0.20,-0.18,42,  0.50,54,0.02,22,-0.40,20,
Leo Petrak - Detlef Karcher,176,0.19,0.31,-0.12,-0.32,91,  0.10,84,-0.20,45,-0.45,46,
Robert Koch - Uwe Siedenburg,192,0.18,0.06,0.12,0.34,91,  -0.08,98,0.50,45,0.18,46,
Markus Eble - Uwe Gebhardt,224,0.13,0.21,-0.08,-0.09,112,  -0.07,111,0.29,55,-0.45,57,
Josias Prinz zu Waldeck - Leonard Vornkahl,128,0.13,-0.10,0.23,0.68,61,  -0.18,66,0.90,34,0.42,27,
Martin Jentsch - Dr. Michael Dierich,223,0.09,0.30,-0.21,-0.04,106,  -0.36,116,0.25,51,-0.32,55,
Avram Kreisberger - Ulrich Däullary,192,0.08,0.00,0.08,-0.09,93,  0.23,98,0.44,43,-0.54,50,
Florian Alter - Hartmut Kondoch,160,0.06,-0.25,0.31,0.33,82,  0.29,77,0.39,47,0.24,35,
Robert Jaßniger - Christian Glubrecht,192,0.04,-0.14,0.18,0.14,87,  0.22,104,-0.34,33,0.43,54,
Ingo Schmid - Lutz Narajek,128,-0.01,-0.06,0.06,0.19,72,  -0.11,56,0.51,41,-0.24,31,
Lars Hüllen - Stefan Hinck,192,-0.01,0.12,-0.13,-0.05,110,  -0.25,81,0.02,50,-0.10,60,
Dr. Richard Bley - Raffael Braun,144,-0.02,-0.14,0.12,0.19,60,  0.07,82,0.86,28,-0.38,32,
Uwe Schoolmann - Dr. Annikki Schoolmann,224,-0.03,0.23,-0.25,-0.16,115,  -0.36,108,0.12,67,-0.54,48,
Radu Gliga - Dr. Michael Stumpf,192,-0.06,0.06,-0.12,0.01,97,  -0.27,93,0.23,47,-0.20,50,
Boris Yavlinsky - Dr. Gerhard Thurn,192,-0.07,0.04,-0.10,0.15,91,  -0.34,99,0.08,47,0.23,44,
Frederik Hahn - Leonard Vornkahl,127,-0.23,-0.30,0.07,0.37,72,  -0.32,54,-0.11,40,0.96,32,
Dr. Sebastian Weyand - Claudia Vechiatto,192,-0.24,-0.25,0.01,-0.12,96,  0.15,94,-0.27,50,0.04,46,
Theo Reinhard - Thomas Neuhauser,160,-0.48,-0.60,0.12,0.04,72,  0.19,88,0.10,42,-0.04,30,
Dr. Andreas Spiegl - Dr. Bernhard Schirm,287,-0.49,-0.21,-0.28,-0.45,160,  -0.07,126,-0.61,76,-0.30,84,
Martin Staber - Peter Fahrenholz,128,-0.70,-0.39,-0.31,-0.13,55,  -0.45,72,-0.15,30,-0.11,25,
Helmut Lux - Marian Mrukwa,128,-1.15,-0.99,-0.15,-0.38,65,  0.08,63,-0.59,33,-0.16,32,

Players,Count,IMPs,Bid,Play,Decl,#,Def,#,Decl1,#,Decl2,#,
Hartmut Kondoch - Luc Bellicaud,80,0.98,0.77,0.22,0.18,34,  0.25,45,-0.09,13,0.36,21,
Thomas Neuhauser - Christoph Hauschild,63,0.81,0.46,0.35,1.15,29,  -0.35,33,0.86,19,1.69,10,
Helga Stoermer - Antje Berghaus,32,0.35,0.36,-0.01,-0.06,11,  0.02,21,-0.28,8,0.52,3,
Helga Stoermer - Petra Eleftherakis,64,0.29,0.40,-0.12,0.08,37,  -0.38,27,-0.20,18,0.34,19,
Theo Reinhard - Christoph Hauschild,64,0.28,-0.22,0.49,0.39,31,  0.59,33,-0.39,18,1.48,13,
Göran Mattsson - Albrecht Holstein,64,0.24,0.07,0.16,-0.06,38,  0.49,26,0.18,16,-0.23,22,
Klaus Spiegelberg - Christian Tobias Bolik,64,0.06,-0.08,0.14,0.08,30,  0.19,33,-0.68,15,0.85,15,
Ingo Schmid - Martin Müller,80,-0.12,0.60,-0.72,-1.25,37,  -0.27,43,-1.61,13,-1.05,24,
Martin Müller - Petra Eleftherakis,32,-0.29,-0.48,0.19,-0.15,14,  0.45,18,0.75,7,-1.04,7,
Frederik Hahn - Josias Prinz zu Waldeck,32,-0.59,-0.99,0.40,0.33,18,  0.50,14,0.21,8,0.42,10,
Lutz Narajek - Antje Berghaus,32,-0.64,-0.82,0.18,0.21,18,  0.15,14,0.36,10,0.02,8,
Uwe Breusch - Alexander Studt,64,-0.65,-0.25,-0.40,-0.06,33,  -0.78,30,0.27,19,-0.52,14,
Lutz Narajek - Petra Eleftherakis,16,-0.66,0.73,-1.39,-1.21,11,  -1.78,5,-0.39,6,-2.20,5,
Dr. Regine Neuhauser-Riess - Andreas Böhmer,64,-0.77,-0.53,-0.24,-0.33,26,  -0.18,37,-0.62,13,-0.04,13,
Helga Stoermer - Lutz Narajek,48,-0.80,-0.14,-0.66,-0.29,24,  -1.04,24,-0.45,12,-0.13,12,
Arne Siegel - Detlef Karcher,48,-0.93,-0.93,0.00,-0.56,27,  0.76,20,-0.11,14,-1.04,13,
Antje Berghaus - Petra Eleftherakis,80,-1.24,-0.43,-0.81,-0.67,36,  -0.93,44,-0.44,17,-0.87,19,
Lutz Narajek - Martin Müller,64,-1.32,-0.89,-0.43,-0.57,36,  -0.25,28,0.67,17,-1.67,19,

