Players,Count,IMPs,Bid,Play,Decl,#,Def,#,Decl1,#,Decl2,#,
Ferit Tavlan - Bernhard Kaiser,144,0.98,0.86,0.12,0.56,60,  -0.20,83,0.41,32,0.74,28,
Dr. Roland Voigt - Ulrich Voigt,208,0.88,0.61,0.28,0.25,104,  0.30,104,0.45,61,-0.03,43,
Annaig Della Monta - Dr. Alfred Berthold,160,0.46,0.23,0.24,-0.01,73,  0.45,86,0.10,41,-0.15,32,
Jan van Oosten - Dr. Ansgar Seiter,192,0.43,0.20,0.23,0.12,94,  0.34,98,-0.25,50,0.54,44,
Rolf Beckmann - Wolfram Rach,192,0.30,0.17,0.12,0.21,96,  0.04,94,0.52,51,-0.14,45,
Norbert Stübinger - Thomas Martin,160,0.28,0.19,0.09,0.06,85,  0.13,74,0.28,47,-0.20,38,
Beatrix Wodniansky - Werner Kühn,176,0.23,-0.06,0.29,0.40,78,  0.21,96,0.64,43,0.09,35,
Joachim Cappeller - Clemens Oelker,144,0.19,0.40,-0.21,-0.15,78,  -0.29,66,0.05,48,-0.46,30,
Dr. Ralf Schlotmann - Ulrich Trepnau,224,0.13,0.27,-0.14,-0.00,106,  -0.27,116,-0.07,61,0.09,45,
Michael Pauly - Dr. Bernhard Kopp,192,0.13,0.00,0.12,0.10,93,  0.15,99,-0.16,44,0.32,49,
Berthold Engel - Alexander Wodniansky,176,0.13,0.07,0.06,0.13,96,  -0.02,80,-0.13,51,0.43,45,
Martin Meckel - Bettina Kaiser,144,0.13,0.29,-0.17,-0.22,83,  -0.09,60,-0.27,35,-0.18,48,
Udo Kreimeyer - Wolfgang Sonntag,192,0.02,-0.27,0.29,0.07,79,  0.44,113,-0.25,38,0.37,41,
Ulf Bormann - Christine Kraus,160,-0.01,0.10,-0.11,-0.04,80,  -0.18,80,-0.21,37,0.11,43,
Jürgen Sander - Dr. Bettina Bohnhorst,288,-0.02,-0.18,0.15,0.14,132,  0.16,155,-0.25,62,0.49,70,
Hema Adhikary - Ingrid Gromann,208,-0.03,0.03,-0.06,0.18,106,  -0.31,102,0.14,57,0.22,49,
