Players,Count,IMPs,Bid,Play,Decl,#,Def,#,Decl1,#,Decl2,#,
Georgios Mavridis - Karin Mavridis,208,0.69,0.36,0.33,0.34,126,  0.32,82,0.60,69,0.03,57,
Karl Wartlick - Dieter Laidig,192,0.69,0.57,0.12,0.20,92,  0.04,97,0.78,42,-0.28,50,
Wolfhart Umlauft - Dr. Marcel Aebi,192,0.56,0.52,0.04,0.23,102,  -0.18,90,0.54,52,-0.08,50,
Ingeborg Metzler - Bernd Metzler,256,0.52,0.26,0.26,0.11,118,  0.39,136,-0.19,51,0.33,67,
Adam Meyerson - Elianna Meyerson,128,0.52,0.26,0.26,0.17,67,  0.37,61,-0.46,31,0.71,36,
Max Neumann - Vladimir Belfermann,288,0.43,0.23,0.20,0.12,156,  0.31,131,0.32,70,-0.05,86,
Norbert Keßler - Vera Waaga,96,0.35,0.40,-0.06,-0.17,39,  0.02,57,0.41,15,-0.54,24,
Tobias Förster - Tobias Müller,192,0.28,0.07,0.21,0.05,111,  0.42,81,0.02,61,0.09,50,
Matthias Stenneken - Ralf Wollenberg,192,0.27,0.29,-0.02,0.03,93,  -0.08,98,0.31,47,-0.25,46,
Franz-Jürgen Röttger - Kerstin Sosnowski,224,0.23,0.34,-0.11,-0.02,122,  -0.23,100,-0.00,63,-0.04,59,
Philip Calder - Cumhur Kirdemir,192,0.19,0.25,-0.07,0.14,92,  -0.27,98,-0.06,42,0.31,50,
Matthias Voigt - Dr. Gerold Wieber,208,0.15,0.26,-0.11,-0.03,105,  -0.18,100,0.19,48,-0.22,57,
Helmut Franke - Thomas Steins,288,0.14,0.06,0.08,-0.21,123,  0.30,164,-0.09,56,-0.31,67,
Klaus Appelt - Anneliese Daig,192,-0.14,-0.18,0.04,0.37,90,  -0.25,102,-0.02,51,0.88,39,
Gerda Heinrichs - Karin Wenning,192,-0.14,-0.29,0.15,0.11,95,  0.19,97,0.11,40,0.12,55,
Dr. Peer Köster - Horst Hübner,192,-0.16,-0.10,-0.06,0.06,85,  -0.15,106,0.67,45,-0.62,40,
Torsten Waaga - Ulrich Bongartz,96,-0.18,-0.05,-0.13,0.22,53,  -0.58,42,0.71,28,-0.34,25,
Michael Schröder - Stefan Vernon,160,-0.19,-0.15,-0.04,0.34,82,  -0.45,77,0.87,45,-0.30,37,
Alexander Rapoport - Alexei Vinogradov,160,-0.20,-0.23,0.02,0.08,86,  -0.04,74,0.08,41,0.08,45,
Joachim Hegener - Ulrike Köppchen,192,-0.23,-0.13,-0.11,-0.29,92,  0.06,100,0.35,55,-1.24,37,
Volker Hund-Schulze - Benedikt Wiemeyer,224,-0.24,-0.23,-0.02,-0.26,100,  0.18,122,-0.32,49,-0.21,51,
Norbert Keßler - Torsten Waaga,96,-0.28,-0.11,-0.17,-0.57,37,  0.08,59,-0.45,24,-0.81,13,
Henning Gärner - Rainer Twele,288,-0.32,-0.29,-0.03,-0.30,132,  0.19,154,-0.11,85,-0.64,47,
Dr. Silvia Klasberg-Brawanski - Eckhard Renken,128,-0.38,-0.27,-0.11,-0.40,68,  0.21,60,0.27,33,-1.02,35,
Andreas Schiffmann - Darius Schiffmann,288,-0.43,-0.54,0.11,0.29,163,  -0.13,124,0.33,79,0.25,84,
Ingrid Stoeckmann - Burkhard Thamm,192,-0.55,-0.33,-0.22,-0.28,100,  -0.16,91,-0.13,61,-0.52,39,
Sabine Würdemann - Barbara von Kleist,128,-0.62,-0.09,-0.53,-0.40,62,  -0.68,63,-0.65,39,0.02,23,
Martin Cantor - Omid Karimi,128,-0.65,-0.28,-0.37,-0.06,62,  -0.65,66,-0.34,35,0.30,27,
Kurt Siedenburg - Dr. Klaus Krtschil,176,-0.87,-0.44,-0.43,-0.12,71,  -0.65,104,0.20,34,-0.41,37,

Players,Count,IMPs,Bid,Play,Decl,#,Def,#,Decl1,#,Decl2,#,
Gianluca Bergami - Alessandro Calmanovici,64,0.52,0.22,0.30,0.54,32,  0.06,32,1.00,13,0.22,19,
Dr. Silvia Klasberg-Brawanski - Martin Cantor,64,0.18,-0.11,0.29,-0.43,40,  1.51,24,-0.22,18,-0.61,22,
Eckhard Renken - Omid Karimi,64,-0.37,-0.26,-0.11,-0.18,35,  -0.03,29,-0.22,20,-0.14,15,
Ulrich Bongartz - Vera Waaga,80,-0.61,-0.34,-0.27,-0.66,35,  0.03,45,-1.33,19,0.13,16,

