DECLARER, Board 10|3

Contract           Count Overall     Bid    Play
1DX, E, H, 5           1    5.38   36.92   18.46
1DX, W, C, 5           1    5.38    5.38   50.00
2CX, E, H, 6           1    5.38    5.38   50.00
2DX, E, H, 5           1    0.77    2.31   48.46
2DX, E, S, 6           1    5.38    2.31   53.08
2DX, W, H, 5           1    0.77    0.77   50.00
2S, S, C, 12           1    1.54    0.70   50.84
2S, S, D, 12           2    1.54    0.70   50.84
3NT, S, C, 12          5   87.69   81.76   55.93
3NT, S, H, 11          1   66.92   81.76   35.16
3NT, S, S, 11          1   66.92   81.76   35.16
4H, N, C, 10           1    6.92   36.25   20.67
4H, N, C, 11           3   37.69   36.25   51.44
4H, N, D, 11           2   37.69   36.25   51.44
4H, N, S, 10           1    6.92   36.25   20.67
4H, N, S, 11           8   37.69   36.25   51.44
4H, N, S, 12           1   76.15   36.25   89.90
4H, S, H, 11           1   37.69   37.69   50.00
4S, N, C, 11           5   37.69   40.99   46.70
4S, N, C, 12           2   76.15   40.99   85.16
4S, N, D, 10           1    6.92   40.99   15.93
4S, N, D, 11           4   37.69   40.99   46.70
4S, N, H, 11           1   37.69   40.99   46.70
4S, N, S, 11           1   37.69   40.99   46.70
4S, S, C, 12           1   76.15   53.78   72.38
4S, S, D, 12           1   76.15   53.78   72.38
4S, S, H, 10           1    6.92   53.78    3.15
4S, S, H, 11           7   37.69   53.78   33.92
4S, S, H, 12           5   76.15   53.78   72.38
4S, S, S, 11           3   37.69   53.78   33.92
5S, S, S, 11           1   37.69   53.46   34.23

DEFENDER, Board 10|3

Contract           Count Overall     Bid    Lead Restdef
1DX, E, H, 5           1   94.62   63.08   81.54   50.00
1DX, W, C, 5           1   94.62   94.62   50.00   50.00
2CX, E, H, 6           1   94.62   94.62   50.00   50.00
2DX, E, H, 5           1   99.23   97.69   51.54   50.00
2DX, E, S, 6           1   94.62   97.69   46.92   50.00
2DX, W, H, 5           1   99.23   99.23   50.00   50.00
2S, S, C, 12           1   98.46   99.30   49.16   50.00
2S, S, D, 12           2   98.46   99.30   49.16   50.00
3NT, S, C, 12          5   12.31   18.24   44.07   50.00
3NT, S, H, 11          1   33.08   18.24   64.84   50.00
3NT, S, S, 11          1   33.08   18.24   64.84   50.00
4H, N, C, 10           1   93.08   63.75   56.25   73.08
4H, N, C, 11           3   62.31   63.75   56.25   42.31
4H, N, D, 11           2   62.31   63.75   48.56   50.00
4H, N, S, 10           1   93.08   63.75   47.79   81.54
4H, N, S, 11           8   62.31   63.75   47.79   50.77
4H, N, S, 12           1   23.85   63.75   47.79   12.31
4H, S, H, 11           1   62.31   62.31   50.00   50.00
4S, N, C, 11           5   62.31   59.01   42.31   60.99
4S, N, C, 12           2   23.85   59.01   42.31   22.53
4S, N, D, 10           1   93.08   59.01   59.45   74.62
4S, N, D, 11           4   62.31   59.01   59.45   43.85
4S, N, H, 11           1   62.31   59.01   53.30   50.00
4S, N, S, 11           1   62.31   59.01   53.30   50.00
4S, S, C, 12           1   23.85   46.22   27.62   50.00
4S, S, D, 12           1   23.85   46.22   27.62   50.00
4S, S, H, 10           1   93.08   46.22   53.66   93.20
4S, S, H, 11           7   62.31   46.22   53.66   62.43
4S, S, H, 12           5   23.85   46.22   53.66   23.96
4S, S, S, 11           3   62.31   46.22   66.08   50.00
5S, S, S, 11           1   62.31   46.54   65.77   50.00

DECLARER, Board 10|4

Contract           Count Overall     Bid    Play
4H, E, C, 10           2   83.85   84.07   49.77
4H, E, C, 11           1   86.92   84.07   52.85
4H, E, H, 11           1   86.92   84.07   52.85
4HX, E, C, 10          8   94.62   95.01   49.61
4S, N, H, 10           1   90.77   90.77   50.00
4S, S, H, 10           2   90.77   90.77   50.00
4SX, S, H, 10          1   95.38   95.38   50.00
5C, N, H, 11           3   80.77   83.27   47.50
5C, S, D, 12           2   90.77   75.60   65.16
5C, S, H, 10           1   24.62   75.60   -0.99
5C, S, H, 11           5   80.77   75.60   55.16
5H, E, C, 10           1   70.77   71.95   48.82
5HX, E, C, 10         22   50.77   54.37   46.40
5HX, E, H, 10          1   50.77   54.37   46.40
5HX, W, C, 10          1   50.77   50.77   50.00
5S, S, H, 10           2   24.62   24.62   50.00
6C, S, D, 10           1   19.23   44.51   24.73
6C, S, D, 11           2   24.62   44.51   30.11
6C, S, D, 12           1   96.92   44.51  102.42
6CX, N, D, 12          1   99.23   39.23  110.00
6CX, S, D, 12          1   99.23   41.94  107.29
6CX, S, H, 11          1   19.23   41.94   27.29
6HX, E, C, 10          3   28.46   30.09   48.37
6HX, E, C, 11          1   50.77   30.09   70.68
6HX, E, D, 10          1   28.46   30.09   48.37

DEFENDER, Board 10|4

Contract           Count Overall     Bid    Lead Restdef
4H, E, C, 10           2   16.15   15.93   50.06   50.16
4H, E, C, 11           1   13.08   15.93   50.06   47.09
4H, E, H, 11           1   13.08   15.93   48.69   48.46
4HX, E, C, 10          8    5.38    4.99   50.11   50.28
4S, N, H, 10           1    9.23    9.23   50.00   50.00
