DECLARER, Board 10|1

Contract           Count Overall     Bid    Play
5C, E, D, 11           1   67.12   67.51   49.62
5C, E, H, 11          38   67.12   67.51   49.62
5CX, E, H, 11          3   96.58   96.61   49.97
5DX, E, H, 11          1   96.58   96.58   50.00
6C, E, D, 13           1  100.00   29.14  120.86
6C, E, H, 11          18   28.08   29.14   48.94
6CX, E, H, 11          7   10.96   12.27   48.69
6NT, E, H, 8           1    4.79    4.79   50.00
6NT, W, H, 8           1    4.79    4.79   50.00
6NTX, E, H, 8          1    2.05    2.05   50.00
6NTX, W, H, 8          1    2.05    2.05   50.00
7NTX, W, H, 8          1    0.00    0.00   50.00

DEFENDER, Board 10|1

Contract           Count Overall     Bid    Lead Restdef
5C, E, D, 11           1   32.88   32.49   37.32   63.06
5C, E, H, 11          38   32.88   32.49   50.38   50.00
5CX, E, H, 11          3    3.42    3.39   50.03   50.00
5DX, E, H, 11          1    3.42    3.42   50.00   50.00
6C, E, D, 13           1    0.00   70.86   15.10   14.04
6C, E, H, 11          18   71.92   70.86   51.06   50.00
6CX, E, H, 11          7   89.04   87.73   51.31   50.00
6NT, E, H, 8           1   95.21   95.21   50.00   50.00
6NT, W, H, 8           1   95.21   95.21   50.00   50.00
6NTX, E, H, 8          1   97.95   97.95   50.00   50.00
6NTX, W, H, 8          1   97.95   97.95   50.00   50.00
7NTX, W, H, 8          1  100.00  100.00   50.00   50.00

DECLARER, Board 10|2

Contract           Count Overall     Bid    Play
1D, E, D, 5            2   52.05   42.19   59.86
1D, E, S, 4            2   27.40   42.19   35.21
1D, E, S, 5            1   52.05   42.19   59.86
1NT, E, C, 5           1   52.05   63.13   38.92
1NT, E, D, 4           1   27.40   63.13   14.26
2C, W, D, 7            1   66.44   43.32   73.12
2D, N, C, 9            1   58.90   58.90   50.00
2D, S, C, 8            1   39.73   43.04   46.69
2DX, S, C, 8           1   80.82   81.59   49.23
2H, S, D, 6            1    3.42    2.39   51.04
2HX, E, S, 7           1   52.05   52.05   50.00
2NT, E, D, 6           1   52.05   49.24   52.82
2NT, E, D, 7           1   66.44   49.24   67.20
2NT, E, D, 8           1   93.15   49.24   93.91
2NT, S, C, 8           1   63.01   63.01   50.00
2NT, W, D, 4           1   12.33   19.86   42.47
3C, E, D, 6            1   27.40   57.66   19.74
3C, E, D, 7            1   52.05   57.66   44.40
3C, E, S, 7            1   52.05   57.66   44.40
3C, E, S, 8            4   66.44   57.66   58.78
3CX, E, S, 7           1    0.00   28.39   21.61
3D, S, C, 10           1   64.38   26.00   88.38
3D, S, C, 7            1    3.42   26.00   27.43
3D, S, C, 8           15   17.81   26.00   41.81
3D, S, C, 9            4   58.90   26.00   82.91
3DX, S, C, 8           1    3.42   23.46   29.97
3NT, E, D, 4           1    3.42   29.79   23.63
3NT, E, D, 5           4   12.33   29.79   32.53
3NT, E, D, 6           5   27.40   29.79   47.60
3NT, E, D, 7           1   52.05   29.79   72.26
3NT, E, D, 8           2   66.44   29.79   86.64
3NT, W, S, 5           1   12.33    7.88   54.45
3NTX, S, C, 8          1    3.42    3.42   50.00
4C, E, D, 8            1   52.05   39.48   62.58
4C, E, S, 7            1   27.40   39.48   37.92
4C, E, S, 8            1   52.05   39.48   62.58
4C, W, D, 5            2    3.42   11.64   41.78
4C, W, D, 6            1   12.33   11.64   50.68
4H, E, S, 7            1   27.40   27.40   50.00
