DECLARER, Board 10|1

Contract           Count Overall     Bid    Play
2D, N, S, 7            1   35.92   35.92   50.00
2NT, N, H, 7           1   35.92   72.45   13.46
2NT, N, S, 10          1   78.87   72.45   56.42
2S, E, D, 6            1   41.55   80.56   10.99
2S, E, D, 7            3   54.23   80.56   23.67
2S, E, D, 8           10   93.66   80.56   63.10
3D, N, S, 7            1   22.54   22.54   50.00
3D, S, S, 7           11   22.54   27.77   44.77
3D, S, S, 8            2   35.92   27.77   58.15
3D, S, S, 9            1   69.01   27.77   91.25
3H, E, D, 7            1   41.55   36.38   55.16
3H, E, H, 6            1   26.06   36.38   39.67
3H, W, D, 5            1   19.72   35.56   34.15
3H, W, D, 6            4   26.06   35.56   40.49
3H, W, D, 7            9   41.55   35.56   55.99
3NT, N, H, 10          1   92.25   77.46   64.79
3NT, N, H, 9           2   86.62   77.46   59.15
3NT, N, S, 10          3   92.25   77.46   64.79
3NT, N, S, 8           1   35.92   77.46    8.45
3NT, N, S, 9           2   86.62   77.46   59.15
3NT, S, C, 8           1   35.92   35.92   50.00
3NTX, N, C, 8          1   22.54   82.35   -9.81
3NTX, N, H, 9          2   98.59   82.35   66.24
3NTX, N, S, 9          1   98.59   82.35   66.24
3S, E, D, 7            1   41.55   49.02   42.53
3S, E, D, 8            1   54.23   49.02   55.21
3SX, E, D, 6           1    4.23   33.10   21.13
3SX, E, D, 7           1   17.61   33.10   34.51
3SX, E, D, 8           2   41.55   33.10   58.45
4H, E, D, 7            1   26.06   23.94   52.11
4SX, E, D, 8           1   17.61   13.17   54.44
pass                   2   41.55   41.55   50.00

DEFENDER, Board 10|1

Contract           Count Overall     Bid    Lead Restdef
2D, N, S, 7            1   64.08   64.08   50.00   50.00
2NT, N, H, 7           1   64.08   27.55   54.02   82.51
2NT, N, S, 10          1   21.13   27.55   46.61   46.97
2S, E, D, 6            1   58.45   19.44   50.00   89.01
2S, E, D, 7            3   45.77   19.44   50.00   76.33
2S, E, D, 8           10    6.34   19.44   50.00   36.90
3D, N, S, 7            1   77.46   77.46   50.00   50.00
3D, S, S, 7           11   77.46   72.23   50.00   55.23
3D, S, S, 8            2   64.08   72.23   50.00   41.85
3D, S, S, 9            1   30.99   72.23   50.00    8.75
3H, E, D, 7            1   58.45   63.62   44.84   50.00
3H, E, H, 6            1   73.94   63.62   60.33   50.00
3H, W, D, 5            1   80.28   64.44   50.00   65.85
3H, W, D, 6            4   73.94   64.44   50.00   59.51
3H, W, D, 7            9   58.45   64.44   50.00   44.01
3NT, N, H, 10          1    7.75   22.54   50.59   34.62
3NT, N, H, 9           2   13.38   22.54   50.59   40.26
3NT, N, S, 10          3    7.75   22.54   44.37   40.85
3NT, N, S, 8           1   64.08   22.54   44.37   97.18
3NT, N, S, 9           2   13.38   22.54   44.37   46.48
3NT, S, C, 8           1   64.08   64.08   50.00   50.00
3NTX, N, C, 8          1   77.46   17.65  109.81   50.00
3NTX, N, H, 9          2    1.41   17.65   49.95   33.80
3NTX, N, S, 9          1    1.41   17.65   42.56   41.20
3S, E, D, 7            1   58.45   50.98   50.00   57.47
3S, E, D, 8            1   45.77   50.98   50.00   44.79
3SX, E, D, 6           1   95.77   66.90   50.00   78.87
3SX, E, D, 7           1   82.39   66.90   50.00   65.49
3SX, E, D, 8           2   58.45   66.90   50.00   41.55
4H, E, D, 7            1   73.94   76.06   47.89   50.00
4SX, E, D, 8           1   82.39   86.83   50.00   45.56
pass                   2   58.45   58.45   50.00   50.00

DECLARER, Board 10|2

Contract           Count Overall     Bid    Play
2CX, E, C, 1           1    4.23    4.23   50.00
2DX, W, C, 6           1   85.92   85.92   50.00
3NT, N, D, 13          1   16.90   15.76   51.14
4NT, S, H, 13          1   16.90   16.24   50.67
5NT, S, S, 13          1   16.90   16.24   50.67
6C, N, C, 13           1   31.69   24.20   57.49
6C, N, D, 12           4   22.54   24.20   48.34
6C, N, D, 13           1   31.69   24.20   57.49
6C, S, D, 12           1   22.54   30.77   41.76
6C, S, H, 13           3   31.69   30.77   50.92
6C, S, S, 13           3   31.69   30.77   50.92
6NT, N, D, 12          1   50.00   58.66   41.34
6NT, N, H, 12          1   50.00   58.66   41.34
6NT, N, S, 13          2   78.87   58.66   70.21
6NT, S, C, 13          1   78.87   67.03   61.85
6NT, S, D, 12         13   50.00   67.03   32.97
6NT, S, H, 13          9   78.87   67.03   61.85
6NT, S, S, 12          3   50.00   67.03   32.97
