DECLARER, Board 10|1

Contract           Count Overall     Bid    Play
1NT, N, D, 6           5   -0.56   -0.56   -0.00
1NT, S, D, 4           1   -3.49   -0.16   -3.33
1NT, S, D, 5          10   -2.30   -0.16   -2.14
1NT, S, D, 6          26   -0.56   -0.16   -0.40
1NT, S, D, 7           7    3.25   -0.16    3.41
1NT, S, D, 8           3    4.26   -0.16    4.42
1NT, W, C, 9           1    3.49    3.49   -0.00
1S, S, C, 8            1    3.49    3.31    0.18
2NT, E, S, 7           1   -2.22   -2.22   -0.00
2NT, S, D, 5           1   -3.49   -1.95   -1.54
2S, S, C, 7            5   -0.56    0.40   -0.96
2S, S, C, 8            1    3.49    0.40    3.10
2S, S, D, 7            8   -0.56    0.40   -0.96
2S, S, D, 8            1    3.49    0.40    3.10
2S, S, D, 9            1    4.49    0.40    4.10
3C, E, H, 7            1   -3.35   -1.35   -2.00
3C, E, H, 8            2   -2.22   -1.35   -0.87
3C, E, H, 9            1    2.38   -1.35    3.73
3D, E, S, 8            1   -2.22   -2.22   -0.00
3S, S, D, 7            1   -2.30   -1.63   -0.67

DEFENDER, Board 10|1

Contract           Count Overall     Bid    Lead Restdef
1NT, N, D, 6           5    0.56    0.56    0.00    0.00
1NT, S, D, 4           1    3.49    0.16    0.00    3.33
1NT, S, D, 5          10    2.30    0.16    0.00    2.14
1NT, S, D, 6          26    0.56    0.16    0.00    0.40
1NT, S, D, 7           7   -3.25    0.16    0.00   -3.41
1NT, S, D, 8           3   -4.26    0.16    0.00   -4.42
1NT, W, C, 9           1   -3.49   -3.49    0.00    0.00
1S, S, C, 8            1   -3.49   -3.31    0.04   -0.22
2NT, E, S, 7           1    2.22    2.22    0.00    0.00
2NT, S, D, 5           1    3.49    1.95    0.00    1.54
2S, S, C, 7            5    0.56   -0.40   -0.20    1.16
2S, S, C, 8            1   -3.49   -0.40   -0.20   -2.89
2S, S, D, 7            8    0.56   -0.40    0.13    0.83
2S, S, D, 8            1   -3.49   -0.40    0.13   -3.22
2S, S, D, 9            1   -4.49   -0.40    0.13   -4.22
3C, E, H, 7            1    3.35    1.35    0.00    2.00
3C, E, H, 8            2    2.22    1.35    0.00    0.87
3C, E, H, 9            1   -2.38    1.35    0.00   -3.73
3D, E, S, 8            1    2.22    2.22    0.00    0.00
3S, S, D, 7            1    2.30    1.63   -0.11    0.78

DECLARER, Board 10|10

Contract           Count Overall     Bid    Play
2DX, N, H, 5           1  -12.26   -3.32   -8.94
2DX, N, S, 8           1    5.62   -3.32    8.94
2H, S, S, 7            2   -0.25   -0.53    0.28
2HX, N, H, 6           3   -8.55   -2.39   -6.15
2HX, N, H, 7           2   -2.77   -2.39   -0.37
2HX, N, S, 6           1   -8.55   -2.39   -6.15
2HX, N, S, 7           9   -2.77   -2.39   -0.37
2HX, N, S, 8           2   12.14   -2.39   14.54
2HX, S, S, 6           1   -8.55   -3.41   -5.14
2HX, S, S, 7           6   -2.77   -3.41    0.64
2NT, E, H, 8           1    0.99   -0.04    1.03
2NT, E, H, 9           1    1.42   -0.04    1.46
2NT, W, D, 7           1   -3.99   -0.39   -3.59
2NT, W, D, 8           5    0.99   -0.39    1.38
2NT, W, D, 9           1    1.42   -0.39    1.81
2NT, W, H, 8           2    0.99   -0.39    1.38
2NT, W, H, 9           2    1.42   -0.39    1.81
2S, E, C, 7            1   -3.99   -0.44   -3.54
2S, E, C, 8            4    0.44   -0.44    0.89
2S, N, S, 4            1   -6.88   -6.88   -0.00
3C, E, C, 10           2    1.10    0.67    0.43
3C, E, C, 9            1    0.44    0.67   -0.23
3C, E, H, 11           1    1.42    0.67    0.74
3C, E, H, 9            2    0.44    0.67   -0.23
3H, N, S, 7            1   -2.77   -2.98    0.22
3NT, E, D, 7           1   -6.05    2.44   -8.50
3NT, E, D, 9           1    9.91    2.44    7.46
3NT, N, H, 7           1   -2.77   -2.77   -0.00
3NT, W, D, 6           1   -7.92   -2.60   -5.32
3NT, W, D, 7           1   -6.05   -2.60   -3.45
3NT, W, D, 8           5   -3.99   -2.60   -1.38
3NT, W, D, 9           1    9.91   -2.60   12.51
3NT, W, H, 6           1   -7.92   -2.60   -5.32
3NT, W, H, 7           3   -6.05   -2.60   -3.45
3NT, W, H, 8           4   -3.99   -2.60   -1.38
4C, E, D, 9            1   -3.99   -2.43   -1.56
4C, E, H, 9            1   -3.99   -2.43   -1.56
5C, W, D, 9            1   -6.05   -6.05   -0.00
5CX, E, D, 9           1  -10.56   -7.45   -3.11
5CX, E, H, 9           1  -10.56   -7.45   -3.11

DEFENDER, Board 10|10

Contract           Count Overall     Bid    Lead Restdef
2DX, N, H, 5           1   12.26    3.32    8.94    0.00
2DX, N, S, 8           1   -5.62    3.32   -8.94    0.00
2H, S, S, 7            2    0.25    0.53    0.00   -0.28
2HX, N, H, 6           3    8.55    2.39    3.84    2.31
2HX, N, H, 7           2    2.77    2.39    3.84   -3.47
2HX, N, S, 6           1    8.55    2.39   -1.48    7.63
2HX, N, S, 7           9    2.77    2.39   -1.48    1.85
2HX, N, S, 8           2  -12.14    2.39   -1.48  -13.06
2HX, S, S, 6           1    8.55    3.41    0.00    5.14
2HX, S, S, 7           6    2.77    3.41    0.00   -0.64
2NT, E, H, 8           1   -0.99    0.04   -1.24    0.21
2NT, E, H, 9           1   -1.42    0.04   -1.24   -0.21
2NT, W, D, 7           1    3.99    0.39   -0.30    3.90
2NT, W, D, 8           5   -0.99    0.39   -0.30   -1.08
2NT, W, D, 9           1   -1.42    0.39   -0.30   -1.50
2NT, W, H, 8           2   -0.99    0.39    0.38   -1.76
2NT, W, H, 9           2   -1.42    0.39    0.38   -2.19
2S, E, C, 7            1    3.99    0.44    0.00    3.54
2S, E, C, 8            4   -0.44    0.44    0.00   -0.89
2S, N, S, 4            1    6.88    6.88    0.00    0.00
