DECLARER, Board 10|19

Contract           Count Overall     Bid    Play
1NT, E, S, 8           1   55.39   55.39   50.00
1NT, N, H, 5           9   62.96   71.42   41.53
1NT, N, H, 6           3   80.67   71.42   59.24
1NT, N, H, 8           1   94.11   71.42   72.69
1NT, S, H, 5           1   62.59   62.59   50.00
2C, S, D, 7            1   81.52   86.30   45.22
2CX, S, C, 7           1   62.93   75.24   37.69
2H, E, C, 9            1   77.60   69.33   58.27
2H, E, D, 9            4   77.60   69.33   58.27
2H, E, H, 9            1   77.60   69.33   58.27
2H, E, S, 9            2   77.60   69.33   58.27
2H, W, C, 9            1   77.73   75.01   52.72
2H, W, D, 9            3   77.73   75.01   52.72
2H, W, H, 9            1   77.73   75.01   52.72
2S, S, C, 6            1   63.10   71.88   41.22
2S, S, S, 7            1   80.67   71.88   58.78
3C, N, C, 8            1   80.67   71.88   58.78
3C, N, H, 7            1   63.10   71.88   41.22
3C, S, C, 10           1   95.86   73.91   71.95
3D, W, S, 8            1    9.61    9.61   50.00
3H, E, C, 8            1   10.33   61.24   -0.91
3H, E, D, 8            2   10.33   61.24   -0.91
3H, E, S, 7            1    1.31   61.24   -9.94
3H, E, S, 9            5   77.60   61.24   66.36
3H, W, C, 9            2   77.73   70.26   57.47
3H, W, D, 8            1   10.52   70.26   -9.74
3H, W, D, 9            1   77.73   70.26   57.47
3NT, N, D, 9           1  100.00   12.88  137.12

DEFENDER, Board 10|19

Contract           Count Overall     Bid    Lead Restdef
1NT, E, S, 8           1   44.61   44.61   48.25   51.75
1NT, N, H, 5           9   37.04   28.58   56.98   51.49
1NT, N, H, 6           3   19.33   28.58   56.98   33.78
1NT, N, H, 8           1    5.89   28.58   56.98   20.33
1NT, S, H, 5           1   37.41   37.41   55.45   44.55
2C, S, D, 7            1   18.48   13.70   59.77   45.01
2CX, S, C, 7           1   37.07   24.76   47.67   64.64
2H, E, C, 9            1   22.40   30.67   51.54   40.19
2H, E, D, 9            4   22.40   30.67   47.61   44.13
2H, E, H, 9            1   22.40   30.67   39.74   51.99
2H, E, S, 9            2   22.40   30.67   48.16   43.57
2H, W, C, 9            1   22.27   24.99   45.42   51.86
2H, W, D, 9            3   22.27   24.99   50.14   47.14
2H, W, H, 9            1   22.27   24.99   45.42   51.86
2S, S, C, 6            1   36.90   28.12   64.74   44.04
2S, S, S, 7            1   19.33   28.12   45.35   45.86
3C, N, C, 8            1   19.33   28.12   45.35   45.86
3C, N, H, 7            1   36.90   28.12   64.74   44.04
3C, S, C, 10           1    4.14   26.09   47.38   30.67
3D, W, S, 8            1   90.39   90.39   47.37   52.63
3H, E, C, 8            1   89.67   38.76   65.32   85.59
3H, E, D, 8            2   89.67   38.76   54.10   96.81
