DECLARER, Board 10|3

Contract           Count Overall     Bid    Play
1NT, E, D, 8           1    9.67   36.86   22.81
1NT, E, S, 11          1   46.32   36.86   59.46
1NT, N, H, 3           1   60.28   75.78   34.49
1NTX, N, H, 5          1   50.06   25.03   75.03
2H, E, C, 9            1   13.89   26.81   37.08
2H, E, D, 10           1   26.01   26.81   49.20
2H, E, D, 9            2   13.89   26.81   37.08
2NT, E, C, 11          1   46.32   36.86   59.46
2S, S, D, 7            1   93.04   93.04   50.00
2SX, N, H, 6           1   50.50   50.50   50.00
3H, E, C, 10           2   26.01   26.81   49.20
3H, E, C, 11           1   39.54   26.81   62.73
3H, E, D, 9            3   13.89   26.81   37.08
3H, E, H, 10           1   26.01   26.81   49.20
3H, E, H, 11           5   39.54   26.81   62.73
3H, E, H, 9            1   13.89   26.81   37.08
3H, E, S, 10           1   26.01   26.81   49.20
3H, E, S, 11           1   39.54   26.81   62.73
3NT, E, C, 10          1   71.27   75.40   45.87
3NT, E, C, 11          1   89.70   75.40   64.30
3NT, E, C, 9           1   54.52   75.40   29.11
3NT, E, D, 10          1   71.27   75.40   45.87
3NT, E, D, 9           2   54.52   75.40   29.11
3NT, E, S, 10          4   71.27   75.40   45.87
3NT, E, S, 11          8   89.70   75.40   64.30
3NT, E, S, 12          1   98.40   75.40   73.00
3NT, E, S, 9           1   54.52   75.40   29.11
4H, E, C, 10           1   61.70   51.35   60.35
4H, E, D, 10           2   61.70   51.35   60.35
4H, E, D, 9            1    3.25   51.35    1.90
4H, E, H, 10           2   61.70   51.35   60.35
4H, E, H, 11           1   78.01   51.35   76.66
4H, E, S, 10           4   61.70   51.35   60.35
4H, E, S, 11           1   78.01   51.35   76.66

DEFENDER, Board 10|3

Contract           Count Overall     Bid    Lead Restdef
1NT, E, D, 8           1   90.33   63.14   70.90   56.30
1NT, E, S, 11          1   53.68   63.14   51.20   39.34
1NT, N, H, 3           1   39.72   24.22   43.73   71.77
1NTX, N, H, 5          1   49.94   74.97   47.40   27.57
2H, E, C, 9            1   86.11   73.19   55.59   57.33
2H, E, D, 10           1   73.99   73.19   62.78   38.02
2H, E, D, 9            2   86.11   73.19   62.78   50.14
2NT, E, C, 11          1   53.68   63.14   55.47   35.07
2S, S, D, 7            1    6.96    6.96   44.80   55.20
2SX, N, H, 6           1   49.50   49.50   45.23   54.77
3H, E, C, 10           2   73.99   73.19   55.59   45.21
3H, E, C, 11           1   60.46   73.19   55.59   31.69
3H, E, D, 9            3   86.11   73.19   62.78   50.14
3H, E, H, 10           1   73.99   73.19   49.97   50.83
3H, E, H, 11           5   60.46   73.19   49.97   37.30
3H, E, H, 9            1   86.11   73.19   49.97   62.95
3H, E, S, 10           1   73.99   73.19   52.50   48.30
3H, E, S, 11           1   60.46   73.19   52.50   34.77
3NT, E, C, 10          1   28.73   24.60   48.65   55.48
3NT, E, C, 11          1   10.30   24.60   48.65   37.05
3NT, E, C, 9           1   45.48   24.60   48.65   72.24
3NT, E, D, 10          1   28.73   24.60   81.76   22.37
3NT, E, D, 9           2   45.48   24.60   81.76   39.12
3NT, E, S, 10          4   28.73   24.60   40.78   63.35
3NT, E, S, 11          8   10.30   24.60   40.78   44.92
3NT, E, S, 12          1    1.60   24.60   40.78   36.22
3NT, E, S, 9           1   45.48   24.60   40.78   80.10
4H, E, C, 10           1   38.30   48.65   48.20   41.46
4H, E, D, 10           2   38.30   48.65   80.89    8.77
4H, E, D, 9            1   96.75   48.65   80.89   67.21
4H, E, H, 10           2   38.30   48.65   33.99   55.67
4H, E, H, 11           1   21.99   48.65   33.99   39.35
4H, E, S, 10           4   38.30   48.65   34.19   55.47
4H, E, S, 11           1   21.99   48.65   34.19   39.15

