DECLARER, Board 10|1

Contract           Count Overall     Bid    Play
2CX, W, C, 3           1  -12.00  -12.00    0.00
2DX, E, S, 5           1   -1.51   -1.51    0.00
3NT, N, C, 10          1   -0.49   -0.26   -0.23
3NT, N, D, 10         34   -0.49   -0.26   -0.23
3NT, N, D, 11          2    0.50   -0.26    0.75
3NT, N, D, 9           2   -1.47   -0.26   -1.22
3NT, N, S, 10          3   -0.49   -0.26   -0.23
3NT, N, S, 11         13    0.50   -0.26    0.75
3NT, S, C, 10          1   -0.48    0.08   -0.56
3NT, S, C, 11          2    0.50    0.08    0.42
3NT, S, D, 10          1   -0.48    0.08   -0.56
3NT, S, H, 10          1   -0.48    0.08   -0.56
3NT, S, S, 11          2    0.50    0.08    0.42

DEFENDER, Board 10|1

Contract           Count Overall     Bid    Lead Restdef
2CX, W, C, 3           1   12.00   12.00    0.00    0.00
2DX, E, S, 5           1    1.51    1.51    0.00    0.00
3NT, N, C, 10          1    0.49    0.26    0.24   -0.00
3NT, N, D, 10         34    0.49    0.26    0.24   -0.00
3NT, N, D, 11          2   -0.50    0.26    0.24   -0.99
3NT, N, D, 9           2    1.47    0.26    0.24    0.98
3NT, N, S, 10          3    0.49    0.26   -0.58    0.81
3NT, N, S, 11         13   -0.50    0.26   -0.58   -0.18
3NT, S, C, 10          1    0.48   -0.08   -0.10    0.66
3NT, S, C, 11          2   -0.50   -0.08   -0.10   -0.33
3NT, S, D, 10          1    0.48   -0.08    0.57   -0.01
3NT, S, H, 10          1    0.48   -0.08    0.57   -0.01
3NT, S, S, 11          2   -0.50   -0.08   -0.43    0.01

DECLARER, Board 10|10

Contract           Count Overall     Bid    Play
1H, E, S, 7            1   -1.37   -0.85   -0.52
1H, E, S, 8            1   -0.59   -0.85    0.26
1NT, N, S, 7           1    5.16    5.16    0.00
1S, W, C, 9            2    0.34    0.81   -0.46
2C, N, D, 8            1    5.17    5.38   -0.21
2H, E, S, 8            1   -0.61   -2.22    1.60
2S, W, C, 10           2    1.27    0.81    0.47
2S, W, C, 9            6    0.34    0.81   -0.46
3C, N, C, 9            1    5.51    3.41    2.09
3C, N, D, 8            1    0.72    3.41   -2.69
3C, N, D, 9            3    5.51    3.41    2.09
3C, N, H, 8            1    0.72    3.41   -2.69
3C, N, S, 9            3    5.51    3.41    2.09
3C, S, C, 8            1    0.68    0.68    0.00
3D, E, H, 10           1    0.34    0.34    0.00
3D, W, C, 10           2    0.33    0.03    0.30
3D, W, C, 9            1   -0.58    0.03   -0.61
3NT, S, S, 7           2   -2.13   -2.13    0.00
3S, E, H, 10           1    1.28    1.28    0.00
3S, W, C, 10           9    1.27    0.81    0.47
3S, W, C, 9            8    0.34    0.81   -0.46
3S, W, D, 11           1    2.11    0.81    1.30
3S, W, H, 9            1    0.34    0.81   -0.46
4C, N, D, 8            1   -2.10   -0.55   -1.55
4C, N, S, 8            3   -2.10   -0.55   -1.55
4C, N, S, 9            2    0.66   -0.55    1.21
4S, W, C, 10           4    9.99    1.89    8.10
4S, W, C, 9            2   -5.38    1.89   -7.27
4S, W, D, 10           1    9.99    1.89    8.10

DEFENDER, Board 10|10

Contract           Count Overall     Bid    Lead Restdef
1H, E, S, 7            1    1.37    0.85    0.31    0.21
1H, E, S, 8            1    0.59    0.85    0.31   -0.57
1NT, N, S, 7           1   -5.16   -5.16   -0.22    0.22
1S, W, C, 9            2   -0.34   -0.81    0.39    0.07
2C, N, D, 8            1   -5.17   -5.38   -0.20    0.40
2H, E, S, 8            1    0.61    2.22    0.28   -1.88
2S, W, C, 10           2   -1.27   -0.81    0.39   -0.86
2S, W, C, 9            6   -0.34   -0.81    0.39    0.07
3C, N, C, 9            1   -5.51   -3.41   -2.35    0.25
3C, N, D, 8            1   -0.72   -3.41    0.03    2.67
3C, N, D, 9            3   -5.51   -3.41    0.03   -2.12
3C, N, H, 8            1   -0.72   -3.41    2.40    0.29
3C, N, S, 9            3   -5.51   -3.41   -0.57   -1.53
3C, S, C, 8            1   -0.68   -0.68   -0.34    0.34
3D, E, H, 10           1   -0.34   -0.34    0.34   -0.34
3D, W, C, 10           2   -0.33   -0.03    0.33   -0.63
3D, W, C, 9            1    0.58   -0.03    0.33    0.28
3NT, S, S, 7           2    2.13    2.13   -0.37    0.37
3S, E, H, 10           1   -1.28   -1.28    0.38   -0.38
3S, W, C, 10           9   -1.27   -0.81    0.39   -0.86
3S, W, C, 9            8   -0.34   -0.81    0.39    0.07
3S, W, D, 11           1   -2.11   -0.81   -0.53   -0.77
3S, W, H, 9            1   -0.34   -0.81    0.81   -0.34
4C, N, D, 8            1    2.10    0.55   -0.18    1.73
4C, N, S, 8            3    2.10    0.55   -0.53    2.08
4C, N, S, 9            2   -0.66    0.55   -0.53   -0.68
4S, W, C, 10           4   -9.99   -1.89    0.56   -8.66
4S, W, C, 9            2    5.38   -1.89    0.56    6.71
4S, W, D, 10           1   -9.99   -1.89   -8.10    0.00

DECLARER, Board 10|2

Contract           Count Overall     Bid    Play
3NT, E, D, 10          1    5.82    2.54    3.27
3NT, E, D, 9           3    5.35    2.54    2.81
3NT, E, H, 10          1    5.82    2.54    3.27
3NT, E, S, 7           1   -5.68    2.54   -8.22
3NT, E, S, 8           1   -4.21    2.54   -6.75
3NT, W, C, 10          1    5.78   -0.19    5.97
3NT, W, D, 9           1    5.31   -0.19    5.50
3NT, W, S, 10          6    5.78   -0.19    5.97
3NT, W, S, 11          2    6.59   -0.19    6.78
3NT, W, S, 7          11   -5.72   -0.19   -5.53
3NT, W, S, 8          19   -4.25   -0.19   -4.06
3NT, W, S, 9          14    5.31   -0.19    5.50
4H, E, H, 10           1    5.76   -2.44    8.20
4H, E, H, 7            1   -6.54   -2.44   -4.10
4H, E, S, 7            1   -6.54   -2.44   -4.10

DEFENDER, Board 10|2

Contract           Count Overall     Bid    Lead Restdef
3NT, E, D, 10          1   -5.82   -2.54   -2.97   -0.30
3NT, E, D, 9           3   -5.35   -2.54   -2.97    0.16
3NT, E, H, 10          1   -5.82   -2.54   -3.33    0.05
3NT, E, S, 7           1    5.68   -2.54    7.61    0.62
3NT, E, S, 8           1    4.21   -2.54    7.61   -0.85
3NT, W, C, 10          1   -5.78    0.19   -6.07    0.10
3NT, W, D, 9           1   -5.31    0.19   -5.59    0.09
3NT, W, S, 10          6   -5.78    0.19    0.22   -6.20
3NT, W, S, 11          2   -6.59    0.19    0.22   -7.01
3NT, W, S, 7          11    5.72    0.19    0.22    5.30
3NT, W, S, 8          19    4.25    0.19    0.22    3.83
3NT, W, S, 9          14   -5.31    0.19    0.22   -5.73
4H, E, H, 10           1   -5.76    2.44   -2.08   -6.12
4H, E, H, 7            1    6.54    2.44   -2.08    6.18
4H, E, S, 7            1    6.54    2.44    4.16   -0.06

DECLARER, Board 10|3

Contract           Count Overall     Bid    Play
1NT, N, H, 11          1   -6.94   -6.72   -0.23
3CXX, S, D, 12         1   12.60   12.60    0.00
3NT, N, D, 12          1   -0.36   -0.81    0.45
3NT, N, H, 11          1   -1.25   -0.81   -0.45
3NT, N, H, 12          1   -0.36   -0.81    0.45
3NT, S, D, 11         17   -1.25   -0.68   -0.57
3NT, S, D, 12         27   -0.36   -0.68    0.33
3NT, S, D, 13          1    0.64   -0.68    1.32
3NT, S, S, 11          1   -1.25   -0.68   -0.57
5C, N, D, 12           3   -2.26   -2.26    0.00
5C, N, H, 12           1   -2.26   -2.26    0.00
5C, N, S, 12           1   -2.26   -2.26    0.00
5C, S, D, 12           3   -2.26   -2.26    0.00
6C, N, H, 12           1    9.22    9.22    0.00
6C, N, S, 12           1    9.22    9.22    0.00
6C, S, D, 12           3    9.22    9.22    0.00

DEFENDER, Board 10|3

Contract           Count Overall     Bid    Lead Restdef
1NT, N, H, 11          1    6.94    6.72    0.04    0.18
3CXX, S, D, 12         1  -12.60  -12.60    0.00   -0.00
3NT, N, D, 12          1    0.36    0.81   -0.46    0.01
3NT, N, H, 11          1    1.25    0.81    0.16    0.29
3NT, N, H, 12          1    0.36    0.81    0.16   -0.61
3NT, S, D, 11         17    1.25    0.68   -0.01    0.58
