Players;Count;IMPs;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;Lead1;#;Lead2;#;Play;#
SCHMIDT Pierre - ZOCHOWSKA Joanna;208;0,67;0,47;0,20;0,20;103;  0,20;105;0,41;44;0,04;59;0,06;55;0,36;50;0,00;105;
STEGAROIU Marina - IONITA Marius;224;0,66;0,55;0,11;0,23;110;  0,02;114;0,13;53;0,31;57;0,25;57;0,46;57;-0,34;114;
BARONI Irene - GANDOGLIA Alessandro;240;0,64;0,45;0,19;0,43;127;  -0,02;111;0,33;59;0,51;68;-0,07;56;0,12;55;-0,04;111;
BUUS THOMSEN Signe - JEPSEN Peter;240;0,56;0,33;0,23;0,19;124;  0,27;115;0,61;59;-0,19;65;0,42;47;0,05;68;0,07;115;
SOBOLEWSKA Ewa - BURAS Krzysztof;208;0,55;0,11;0,44;0,70;123;  0,20;84;0,70;65;0,70;58;0,17;43;0,10;41;0,07;84;
VON ARNIM Daniela - HAEUSLER Helmut;224;0,50;0,34;0,16;-0,01;113;  0,36;108;-0,35;62;0,40;51;0,30;61;-0,23;47;0,29;108;
CARCASSONNE-LABAERE Valerie - LABAERE Alain;288;0,47;0,32;0,15;0,04;145;  0,33;142;0,51;81;-0,56;64;0,12;77;0,10;65;0,22;142;
REESS Vanessa - THUILLEZ Laurent;240;0,45;0,24;0,21;0,50;127;  -0,06;113;0,38;64;0,61;63;0,01;57;0,23;56;-0,18;113;
ATTANASIO Dario - MANARA Gabriella;224;0,38;0,36;0,03;-0,26;101;  0,27;121;-0,10;52;-0,43;49;0,20;61;-0,12;60;0,23;121;
COSTA PESSOA Sofia - BARBOSA Juliano;256;0,33;0,11;0,22;0,14;130;  0,35;126;0,14;69;0,15;61;0,24;67;-0,03;59;0,23;126;
MIHAI Geta - MIHAI Radu;224;0,33;0,02;0,30;0,85;128;  -0,30;96;0,66;61;1,01;67;-0,18;43;-0,06;53;-0,18;96;
TORRES Jose Ignacio - CAFRANGA Carmen;224;0,29;0,02;0,27;0,39;117;  0,20;106;0,53;62;0,24;55;0,64;50;-0,37;56;0,09;106;
EGGELING Marie - GRUENKE Paul;272;0,29;0,16;0,12;0,56;106;  -0,17;164;0,63;54;0,49;52;0,18;78;-0,21;86;-0,14;164;
STANICIC Ognjen - PILIPOVIC Marina;112;0,29;0,06;0,22;0,23;60;  0,28;52;0,28;34;0,16;26;0,03;29;-0,31;23;0,39;52;
BAREL Michael - KATZ Paz;208;0,27;0,35;-0,08;0,39;100;  -0,56;107;0,64;45;0,18;55;-0,17;59;-0,24;48;-0,36;107;
