Players;Count;IMPs;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;Lead1;#;Lead2;#;Play;#
SCHMIDT Pierre - ZOCHOWSKA Joanna;208;1,01;0,66;0,34;0,35;103;  0,34;105;0,56;44;0,19;59;0,05;55;0,30;50;0,17;105;
STEGAROIU Marina - IONITA Marius;224;0,76;0,59;0,17;0,35;110;  -0,01;114;0,17;53;0,53;57;0,11;57;0,37;57;-0,25;114;
BUUS THOMSEN Signe - JEPSEN Peter;240;0,72;0,40;0,32;0,37;124;  0,26;115;0,94;59;-0,14;65;0,33;47;0,00;68;0,12;115;
BARONI Irene - GANDOGLIA Alessandro;240;0,64;0,49;0,14;0,27;127;  0,00;111;-0,01;59;0,51;68;-0,15;56;0,06;55;0,05;111;
SOBOLEWSKA Ewa - BURAS Krzysztof;208;0,61;0,15;0,46;0,63;123;  0,21;84;0,42;65;0,86;58;0,10;43;0,08;41;0,12;84;
REESS Vanessa - THUILLEZ Laurent;240;0,58;0,33;0,25;0,44;127;  0,03;113;0,30;64;0,59;63;-0,02;57;0,28;56;-0,10;113;
VON ARNIM Daniela - HAEUSLER Helmut;224;0,50;0,37;0,13;0,04;113;  0,23;108;-0,30;62;0,46;51;0,20;61;-0,29;47;0,25;108;
BAREL Michael - KATZ Paz;208;0,46;0,46;0,00;0,38;100;  -0,35;107;0,49;45;0,29;55;-0,12;59;-0,20;48;-0,20;107;
ATTANASIO Dario - MANARA Gabriella;224;0,45;0,39;0,06;-0,18;101;  0,26;121;0,14;52;-0,52;49;0,09;61;-0,01;60;0,22;121;
SIMIC Olga - VUJCIC Veljko;304;0,41;0,25;0,16;0,18;151;  0,15;151;-0,04;74;0,39;77;0,01;70;0,32;81;-0,03;151;
CARCASSONNE-LABAERE Valerie - LABAERE Alain;288;0,40;0,30;0,10;-0,10;145;  0,31;142;0,38;81;-0,70;64;-0,00;77;0,01;65;0,30;142;
TORRES Jose Ignacio - CAFRANGA Carmen;224;0,38;0,11;0,27;0,30;117;  0,24;106;0,43;62;0,15;55;0,55;50;-0,27;56;0,13;106;
COSTA PESSOA Sofia - BARBOSA Juliano;256;0,33;0,11;0,23;0,10;130;  0,35;126;0,02;69;0,19;61;0,25;67;-0,09;59;0,27;126;
STANICIC Ognjen - PILIPOVIC Marina;112;0,30;0,12;0,18;0,16;60;  0,20;52;0,23;34;0,06;26;-0,06;29;-0,19;23;0,32;52;
SCHIPPERS-BOSKLOPPER Elly - STIENEN Rene;176;0,30;0,16;0,14;-0,02;86;  0,30;90;-0,14;41;0,09;45;-0,01;43;-0,04;47;0,33;90;
MIHAI Geta - MIHAI Radu;224;0,27;-0,00;0,27;0,70;128;  -0,31;96;0,72;61;0,69;67;-0,19;43;-0,16;53;-0,13;96;
