Players;Count;IMPs;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;Lead1;#;Lead2;#;Play;#
GAWRYS Piotr - KLUKOWSKI Michal;352;0,82;0,25;0,57;0,54;180;  0,67;171;0,36;88;0,71;92;0,33;92;0,54;79;0,24;171;
BRINK Sjoert - DRIJVER Bas;352;0,68;0,05;0,63;0,64;169;  0,68;180;1,73;55;0,12;114;0,00;121;0,32;59;0,57;180;
VAN DEN BOS Berend - VAN LANKVELD Joris;304;0,65;0,38;0,27;0,25;153;  0,32;150;0,27;75;0,23;78;0,29;71;0,23;79;0,06;150;
BAKKE Christian - BROGELAND Boye;368;0,65;0,34;0,32;0,40;183;  0,29;183;0,55;93;0,23;90;0,20;90;0,15;93;0,11;183;
VAN PROOIJEN Ricco - VERHEES Jr Louk;304;0,64;0,40;0,24;0,10;158;  0,45;145;0,01;81;0,20;77;0,09;65;0,09;80;0,36;145;
MULLER Bauke - DE WIJS Simon;320;0,53;0,27;0,26;0,21;153;  0,35;166;0,22;68;0,19;85;0,06;88;0,01;78;0,31;166;
PADON Dror - BIRMAN Alon;400;0,46;0,41;0,05;-0,09;189;  0,20;211;0,26;87;-0,40;102;-0,13;95;0,02;116;0,25;211;
ASKGAARD Michael - KONOW Kasper;334;0,45;0,23;0,21;0,04;152;  0,39;181;0,22;67;-0,09;85;0,13;82;0,42;99;0,11;181;
TOWNSEND Tom - HANDLEY-PRITCHARD Ben;336;0,43;0,56;-0,14;-0,09;150;  -0,19;186;-0,12;73;-0,06;77;-0,12;93;-0,05;93;-0,10;186;
GAWEL Wojciech - JAGNIEWSKI Rafal;352;0,41;0,11;0,30;0,29;183;  0,34;168;-0,02;89;0,58;94;-0,02;88;0,27;80;0,22;168;
ARASZKIEWICZ Konrad - KOTOROWICZ Krzysztof;320;0,40;0,07;0,34;0,31;165;  0,42;154;0,40;87;0,22;78;-0,02;73;0,09;81;0,38;154;
TOLEDANO Oren - ZAMIR Ami;256;0,38;0,36;0,02;-0,15;133;  0,22;123;-0,15;69;-0,16;64;-0,32;59;-0,25;64;0,50;123;
VERSACE Alfredo - DUBOIN Giorgio;336;0,37;0,20;0,18;0,38;174;  0,01;162;0,66;96;0,04;78;-0,33;86;-0,20;76;0,28;162;
SKRZYPCZAK Jerzy - GIERULSKI Boguslaw;447;0,35;0,12;0,23;0,23;230;  0,25;216;0,15;117;0,31;113;0,19;105;-0,01;111;0,17;216;
MORAN Mark - CARROLL John;256;0,35;0,20;0,15;0,12;117;  0,18;139;-0,38;58;0,61;59;0,34;76;0,01;63;-0,01;139;
DI FRANCO Massimiliano - MANNO Andrea;304;0,35;-0,01;0,36;0,22;153;  0,54;151;0,17;75;0,28;78;0,30;72;0,24;79;0,27;151;
GRUDE Tor Eivind - HELGEMO Geir;352;0,34;0,27;0,07;0,39;187;  -0,28;165;-0,24;85;0,91;102;0,14;72;-0,02;93;-0,33;165;
PERCARIO Giacomo - DONATI Giovanni;272;0,33;-0,11;0,44;0,50;142;  0,41;129;0,37;76;0,66;66;0,35;66;0,36;63;0,05;129;
MESBUR Adam - FITZGIBBON Nicholas;288;0,29;0,06;0,23;0,11;144;  0,41;144;0,58;62;-0,26;82;0,53;69;0,25;75;0,03;144;
NABER Lauri - LUKS Leo;320;0,28;0,30;-0,02;-0,11;160;  0,08;159;-0,12;82;-0,10;78;0,32;70;-0,18;89;0,04;159;
BAHBOUT Sam - DE DONDER Steven;352;0,23;0,14;0,09;-0,11;175;  0,32;176;0,21;89;-0,44;86;0,28;91;0,13;85;0,11;176;
McGANN Hugh - HANLON Tom;384;0,23;0,18;0,05;0,29;201;  -0,20;182;0,09;99;0,48;102;0,09;87;-0,15;95;-0,16;182;
SEBBANE Lionel - SEGUINEAU Paul;368;0,22;0,01;0,20;0,47;180;  -0,02;186;0,69;86;0,26;94;0,24;82;0,10;104;-0,19;186;
RIMSTEDT Mikael - RIMSTEDT Ola;320;0,21;0,23;-0,02;-0,05;166;  0,02;152;-0,06;88;-0,03;78;-0,00;76;0,18;76;-0,07;152;
PALMA Antonio - DIAS Paulo;464;0,19;0,07;0,12;0,23;230;  0,01;234;0,35;111;0,13;119;0,15;114;-0,29;120;0,09;234;
