Players;Count;IMPs;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;Lead1;#;Lead2;#;Play;#
GAWRYS Piotr - KLUKOWSKI Michal;352;0,78;0,23;0,56;0,51;180;  0,61;171;0,32;88;0,69;92;0,26;92;0,51;79;0,24;171;
BAKKE Christian - BROGELAND Boye;368;0,75;0,40;0,35;0,41;183;  0,30;183;0,51;93;0,31;90;0,15;90;0,10;93;0,17;183;
VAN DEN BOS Berend - VAN LANKVELD Joris;304;0,71;0,40;0,31;0,33;153;  0,29;150;0,37;75;0,30;78;0,23;71;0,20;79;0,07;150;
MORAN Mark - CARROLL John;256;0,65;0,34;0,31;0,32;117;  0,30;139;-0,22;58;0,86;59;0,36;76;0,04;63;0,09;139;
BRINK Sjoert - DRIJVER Bas;352;0,65;0,02;0,63;0,66;169;  0,61;180;1,69;55;0,17;114;0,02;121;0,21;59;0,52;180;
MULLER Bauke - DE WIJS Simon;320;0,63;0,32;0,31;0,18;153;  0,43;166;0,22;68;0,15;85;0,08;88;0,04;78;0,37;166;
VAN PROOIJEN Ricco - VERHEES Jr Louk;304;0,56;0,40;0,16;-0,05;158;  0,39;145;-0,18;81;0,10;77;0,05;65;0,06;80;0,34;145;
PADON Dror - BIRMAN Alon;400;0,48;0,44;0,04;-0,17;189;  0,22;211;0,16;87;-0,45;102;-0,18;95;-0,01;116;0,31;211;
PERCARIO Giacomo - DONATI Giovanni;272;0,45;-0,07;0,52;0,62;142;  0,43;129;0,56;76;0,69;66;0,32;66;0,31;63;0,11;129;
TOLEDANO Oren - ZAMIR Ami;256;0,42;0,40;0,02;-0,18;133;  0,23;123;-0,14;69;-0,22;64;-0,30;59;-0,23;64;0,50;123;
GAWEL Wojciech - JAGNIEWSKI Rafal;352;0,41;0,07;0,34;0,36;183;  0,32;168;0,06;89;0,64;94;-0,03;88;0,21;80;0,23;168;
TOWNSEND Tom - HANDLEY-PRITCHARD Ben;336;0,40;0,61;-0,20;-0,24;150;  -0,18;186;-0,18;73;-0,29;77;-0,15;93;-0,08;93;-0,06;186;
SKRZYPCZAK Jerzy - GIERULSKI Boguslaw;447;0,40;0,12;0,28;0,27;230;  0,29;216;0,17;117;0,37;113;0,18;105;-0,05;111;0,23;216;
DI FRANCO Massimiliano - MANNO Andrea;304;0,38;-0,01;0,39;0,29;153;  0,50;151;0,21;75;0,37;78;0,24;72;0,15;79;0,31;151;
GRUDE Tor Eivind - HELGEMO Geir;352;0,37;0,29;0,08;0,37;187;  -0,26;165;-0,21;85;0,87;102;0,14;72;-0,07;93;-0,28;165;
ARASZKIEWICZ Konrad - KOTOROWICZ Krzysztof;320;0,37;0,07;0,30;0,24;165;  0,36;154;0,27;87;0,22;78;-0,04;73;0,02;81;0,37;154;
ASKGAARD Michael - KONOW Kasper;334;0,35;0,18;0,17;0,06;152;  0,26;181;0,11;67;0,01;85;0,09;82;0,31;99;0,05;181;
VERSACE Alfredo - DUBOIN Giorgio;336;0,34;0,18;0,16;0,30;174;  0,02;162;0,48;96;0,08;78;-0,33;86;-0,21;76;0,29;162;
DE ROOS Steve - ARTS Geert;336;0,33;0,19;0,15;0,22;169;  0,07;166;0,22;93;0,23;76;0,01;99;-0,10;67;0,10;166;
SZABO Csaba - WINKLER Gabor;160;0,29;0,38;-0,09;-0,78;82;  0,63;78;-0,53;35;-0,96;47;0,33;37;0,08;41;0,43;78;
PIEDRA Fernando - ZIMMERMANN Pierre;223;0,26;0,01;0,24;0,27;116;  0,22;107;0,32;56;0,21;60;0,38;51;-0,08;56;0,08;107;
PALMA Antonio - DIAS Paulo;464;0,25;0,09;0,16;0,29;230;  0,04;234;0,40;111;0,19;119;0,16;114;-0,32;120;0,12;234;
PEREIRA DE SOUSA Jose - LIMA Paolo Miguel;144;0,25;0,39;-0,14;0,01;68;  -0,27;76;0,05;36;-0,04;32;-0,50;34;0,41;42;-0,27;76;
NABER Lauri - LUKS Leo;320;0,21;0,26;-0,05;-0,16;160;  0,06;159;-0,17;82;-0,15;78;0,26;70;-0,19;89;0,05;159;
RIMSTEDT Mikael - RIMSTEDT Ola;320;0,20;0,27;-0,06;-0,11;166;  -0,01;152;-0,12;88;-0,10;78;-0,05;76;0,14;76;-0,05;152;
McGANN Hugh - HANLON Tom;384;0,20;0,14;0,06;0,23;201;  -0,13;182;0,03;99;0,43;102;0,08;87;-0,16;95;-0,09;182;
SEBBANE Lionel - SEGUINEAU Paul;368;0,16;0,01;0,15;0,31;180;  -0,01;186;0,42;86;0,22;94;0,18;82;0,14;104;-0,17;186;
BLAKSET Lars - LAHRMANN Christian;352;0,15;-0,13;0,28;0,56;194;  -0,06;157;0,61;96;0,50;98;-0,07;77;0,02;80;-0,03;157;
