Players;Count;IMPs;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;Lead1;#;Lead2;#;Play;#
KWIECIEN Michal - STARKOWSKI Wlodzimierz;256;0,68;0,46;0,22;0,09;149;  0,57;106;-0,14;68;0,28;81;0,28;50;0,15;56;0,36;106;
BIZON Piotr - BLAT Marek;176;0,64;0,42;0,22;0,05;89;  0,42;87;-0,39;48;0,56;41;0,26;45;-0,05;42;0,31;87;
MINA Aldo - PULGA Ruggero;208;0,51;0,22;0,30;0,53;104;  0,10;104;0,42;49;0,64;55;0,12;48;0,24;56;-0,08;104;
FARSTAD Arve - MIKKELSEN Jan;192;0,51;0,20;0,31;0,36;92;  0,29;99;0,33;47;0,39;45;0,08;47;-0,17;52;0,34;99;
HOFLAND Leonhard - KOLEN Jan;112;0,51;0,01;0,50;0,13;47;  0,92;64;0,27;17;0,05;30;-0,14;39;1,37;25;0,47;64;
BOESGAARD Knud-Aage - NIELSEN Hans Christian;208;0,48;0,42;0,06;0,25;108;  -0,14;100;0,35;59;0,12;49;-0,06;51;-0,15;49;-0,04;100;
CLARET Michel - ROCAFORT Jean-Pierre;240;0,43;0,33;0,10;0,19;111;  0,06;128;0,33;60;0,01;51;0,11;68;0,38;60;-0,18;128;
MORATH Anders - OSTBERG Johnny;192;0,42;0,31;0,12;0,40;95;  -0,12;97;0,74;38;0,18;57;0,13;48;-0,14;49;-0,11;97;
COENRAETS Philippe - BIGDELI Faramarz;192;0,40;0,32;0,07;0,18;108;  0,07;83;-0,10;52;0,43;56;0,29;45;0,08;38;-0,13;83;
ADAMSEN Klaus - KOCH-PALMUND Dennis;176;0,35;0,26;0,09;0,14;88;  0,04;87;-0,39;51;0,88;37;0,27;39;0,05;48;-0,11;87;
HANSEN Jorgen Cilleborg - SCHOU Steen;192;0,35;0,11;0,23;0,47;99;  0,01;90;0,83;50;0,10;49;-0,01;51;0,32;39;-0,13;90;
YADLIN Doron - ORENSTEIN Eitan;208;0,34;0,01;0,33;0,32;93;  0,43;113;0,93;44;-0,23;49;0,25;52;0,20;61;0,20;113;
KAPLAN Alain - POLET Guy;224;0,32;0,17;0,14;0,12;124;  0,15;98;0,11;58;0,13;66;0,10;52;0,09;46;0,06;98;
KOWALSKI Apolinary - ROMANSKI Jacek;144;0,30;0,29;0,01;-0,31;74;  0,34;70;-0,26;38;-0,36;36;0,07;39;0,03;31;0,29;70;
VAN DER HOEK Bas - HOFLAND Leonhard;160;0,27;-0,06;0,33;0,44;69;  0,30;90;0,58;36;0,29;33;0,26;49;0,20;41;0,07;90;
EFRAIMSSON Bengt-Erik - AXDORPH Mats;208;0,25;0,11;0,14;0,15;96;  0,15;110;0,34;49;-0,05;47;0,13;60;0,18;50;-0,00;110;
COHEN Dani - ENGEL Joseph;208;0,24;-0,02;0,26;0,26;129;  0,30;77;0,32;59;0,20;70;-0,10;42;0,87;35;-0,04;77;
BURATTI Andrea - FAILLA Giuseppe;208;0,22;0,10;0,12;0,17;94;  0,13;113;0,17;51;0,17;43;0,14;59;0,03;54;0,04;113;
ELIASSON Per Gunnar - ELMROTH Gunnar;176;0,19;0,25;-0,06;0,03;92;  -0,23;84;-0,43;46;0,48;46;0,14;39;0,08;45;-0,34;84;
EIDE Lars - FRYDENBERG Odd A,;192;0,18;0,06;0,11;0,40;101;  -0,05;89;-0,02;48;0,77;53;0,35;48;-0,16;41;-0,16;89;
EYSTEINSSON Bjorn - HERMANNSSON Gudmundur S,;208;0,14;-0,09;0,23;0,25;98;  0,24;109;0,05;54;0,49;44;0,06;57;0,23;52;0,10;109;
