Players;Count;IMPs;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;Lead1;#;Lead2;#;Play;#
BIZON Piotr - BLAT Marek;176;0,92;0,63;0,29;0,24;89;  0,35;87;-0,38;48;0,96;41;0,19;45;-0,15;42;0,32;87;
KWIECIEN Michal - STARKOWSKI Wlodzimierz;256;0,72;0,53;0,19;-0,08;149;  0,58;106;-0,10;68;-0,06;81;0,22;50;0,09;56;0,43;106;
BOESGAARD Knud-Aage - NIELSEN Hans Christian;208;0,65;0,55;0,10;0,28;108;  -0,09;100;0,51;59;0,00;49;-0,16;51;-0,15;49;0,06;100;
MINA Aldo - PULGA Ruggero;208;0,64;0,25;0,39;0,60;104;  0,17;104;0,54;49;0,65;55;0,14;48;0,21;56;-0,00;104;
FARSTAD Arve - MIKKELSEN Jan;192;0,53;0,12;0,41;0,53;92;  0,31;99;0,36;47;0,71;45;0,04;47;-0,07;52;0,32;99;
EFRAIMSSON Bengt-Erik - AXDORPH Mats;208;0,49;0,17;0,32;0,22;96;  0,42;110;0,51;49;-0,09;47;0,17;60;0,24;50;0,21;110;
YADLIN Doron - ORENSTEIN Eitan;208;0,48;0,09;0,39;0,32;93;  0,46;113;1,20;44;-0,47;49;0,25;52;0,08;61;0,30;113;
ELIASSON Per Gunnar - ELMROTH Gunnar;176;0,46;0,37;0,09;0,28;92;  -0,13;84;0,31;46;0,26;46;0,09;39;0,02;45;-0,18;84;
CLARET Michel - ROCAFORT Jean-Pierre;240;0,45;0,36;0,09;0,10;111;  0,09;128;0,27;60;-0,11;51;0,14;68;0,28;60;-0,11;128;
VAN DER HOEK Bas - HOFLAND Leonhard;160;0,44;0,01;0,42;0,52;69;  0,36;90;0,97;36;0,03;33;0,09;49;0,27;41;0,18;90;
KOWALSKI Apolinary - ROMANSKI Jacek;144;0,43;0,36;0,06;-0,27;74;  0,42;70;-0,33;38;-0,21;36;0,08;39;-0,00;31;0,37;70;
COENRAETS Philippe - BIGDELI Faramarz;192;0,41;0,40;0,01;-0,04;108;  0,08;83;-0,12;52;0,04;56;0,21;45;0,03;38;-0,05;83;
KAPLAN Alain - POLET Guy;224;0,40;0,21;0,19;0,27;124;  0,09;98;0,07;58;0,45;66;0,02;52;0,07;46;0,05;98;
ADAMSEN Klaus - KOCH-PALMUND Dennis;176;0,39;0,24;0,16;0,22;88;  0,10;87;-0,25;51;0,86;37;0,31;39;-0,02;48;-0,03;87;
HOFLAND Leonhard - KOLEN Jan;112;0,37;-0,19;0,56;0,28;47;  0,77;64;0,43;17;0,19;30;-0,15;39;1,01;25;0,47;64;
HANSEN Jorgen Cilleborg - SCHOU Steen;192;0,33;0,06;0,27;0,53;99;  0,00;90;0,91;50;0,14;49;0,01;51;0,26;39;-0,12;90;
MORATH Anders - OSTBERG Johnny;192;0,29;0,30;-0,01;0,15;95;  -0,16;97;0,34;38;0,02;57;0,12;48;-0,26;49;-0,09;97;
LUBINSKI Yuval - MARK Micha;159;0,22;0,25;-0,03;0,28;69;  -0,27;90;0,23;44;0,37;25;-0,10;43;-0,09;47;-0,18;90;
EIDE Lars - FRYDENBERG Odd A,;192;0,16;0,13;0,03;0,10;101;  -0,05;89;-0,20;48;0,38;53;0,22;48;-0,32;41;-0,03;89;
COHEN Dani - ENGEL Joseph;208;0,15;-0,14;0,28;0,32;129;  0,23;77;0,37;59;0,27;70;-0,11;42;0,70;35;-0,03;77;
KLUMPP Herbert - MARSAL Reiner;208;0,15;0,06;0,09;0,29;95;  -0,09;113;0,31;52;0,27;43;-0,09;56;0,05;57;-0,07;113;
BURATTI Andrea - FAILLA Giuseppe;208;0,14;0,07;0,07;0,07;94;  0,07;113;-0,08;51;0,24;43;0,11;59;0,01;54;0,00;113;
