Players;Count;IMPs;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;Lead1;#;Lead2;#;Play;#
BALDYSZ Cathy - BALDYSZ Sophia;224;0,67;0,41;0,27;0,29;116;  0,32;108;0,22;68;0,39;48;0,28;55;-0,13;53;0,24;108;
KAZMUCHA Danuta - SARNIAK Anna;256;0,58;0,21;0,37;0,40;126;  0,43;128;0,40;67;0,39;59;0,02;64;0,55;64;0,15;128;
CLEMENTSSON Sanna - ASPLUND SIVELIND Sara;224;0,54;-0,02;0,56;0,82;105;  0,44;119;0,65;60;1,06;45;0,36;58;0,22;61;0,15;119;
BERTHEAU Kathrine - LARSSON Jessica;208;0,52;0,33;0,19;0,26;125;  0,17;81;0,38;53;0,17;72;-0,15;45;0,60;36;-0,01;81;
BILDE Lone - RASMUSSEN Helle;288;0,50;0,44;0,06;0,02;146;  0,13;142;0,28;80;-0,30;66;0,31;75;0,09;67;-0,07;142;
BESSIS Veronique - AVON Danielle;240;0,48;0,47;0,01;0,01;119;  0,06;120;0,38;63;-0,42;56;0,04;51;-0,08;69;0,08;120;
KRIFTNER Susanne - PLATH Mieke;176;0,47;0,14;0,33;0,14;96;  0,64;79;0,37;50;-0,11;46;0,28;44;0,12;35;0,43;79;
ASULIN Adi - LEVI Hila;272;0,47;0,12;0,35;0,08;134;  0,65;137;0,29;81;-0,23;53;-0,07;74;0,12;63;0,63;137;
OZBAY Irem - OZGUR Hatice;287;0,45;0,22;0,23;0,36;141;  0,19;146;0,87;75;-0,22;66;0,22;74;0,26;72;-0,05;146;
HALLQVIST Louise - JOHANSSON Ylva;144;0,39;0,21;0,18;0,06;60;  0,27;83;0,75;30;-0,64;30;-0,09;40;0,01;43;0,31;83;
DELLA MONTA Annaig - SMYKALLA Gisela;223;0,34;0,21;0,13;0,30;107;  -0,00;113;0,52;65;-0,05;42;0,50;60;-0,19;53;-0,18;113;
TAL Dana - TAL Noga;208;0,32;0,09;0,24;0,63;108;  -0,07;99;1,15;56;0,06;52;0,07;44;0,32;55;-0,28;99;
HARALDSDOTTIR BENDER Maria - INGOLFSDOTTIR Harpa Fold;192;0,20;-0,06;0,26;0,24;88;  0,34;104;0,19;43;0,29;45;-0,08;45;0,14;59;0,29;104;
FUGLESTAD Ann Karin - HARDING Marianne;192;0,18;0,00;0,17;0,25;95;  0,17;97;0,18;43;0,30;52;0,06;40;0,43;57;-0,11;97;
