Players;Count;IMPs;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;Lead1;#;Lead2;#;Play;#
KAZMUCHA Danuta - SARNIAK Anna;256;0,76;0,34;0,42;0,46;126;  0,39;128;0,51;67;0,41;59;-0,06;64;0,35;64;0,24;128;
CLEMENTSSON Sanna - ASPLUND SIVELIND Sara;224;0,66;0,04;0,62;0,95;105;  0,33;119;0,78;60;1,17;45;0,24;58;0,13;61;0,15;119;
BALDYSZ Cathy - BALDYSZ Sophia;224;0,61;0,37;0,24;0,22;116;  0,27;108;0,04;68;0,47;48;0,23;55;-0,16;53;0,23;108;
ASULIN Adi - LEVI Hila;272;0,60;0,16;0,44;0,25;134;  0,63;137;0,50;81;-0,15;53;-0,11;74;0,13;63;0,63;137;
HALLQVIST Louise - JOHANSSON Ylva;144;0,59;0,22;0,37;0,29;60;  0,43;83;0,84;30;-0,25;30;0,06;40;-0,13;43;0,47;83;
DELLA MONTA Annaig - SMYKALLA Gisela;223;0,54;0,34;0,20;0,33;107;  0,08;113;0,56;65;-0,03;42;0,35;60;-0,12;53;-0,05;113;
BILDE Lone - RASMUSSEN Helle;288;0,50;0,46;0,05;-0,06;146;  0,15;142;0,21;80;-0,37;66;0,24;75;0,08;67;-0,01;142;
OZBAY Irem - OZGUR Hatice;287;0,49;0,24;0,26;0,31;141;  0,21;146;0,60;75;-0,03;66;0,25;74;0,10;72;0,03;146;
BERTHEAU Kathrine - LARSSON Jessica;208;0,46;0,31;0,14;0,11;125;  0,20;81;-0,13;53;0,29;72;-0,12;45;0,47;36;0,06;81;
BESSIS Veronique - AVON Danielle;240;0,42;0,48;-0,06;-0,15;119;  0,03;120;0,13;63;-0,45;56;-0,05;51;-0,09;69;0,11;120;
KRIFTNER Susanne - PLATH Mieke;176;0,33;0,01;0,32;0,11;96;  0,57;79;0,09;50;0,14;46;0,21;44;0,14;35;0,39;79;
GRUDE Liv Marit - OIGARDEN Bodil Nyheim;176;0,28;0,25;0,02;0,20;97;  -0,20;77;0,22;48;0,18;49;-0,19;39;0,31;38;-0,26;77;
KUUSK Pihel - SEPP Tuul;192;0,21;0,07;0,15;0,45;102;  -0,19;90;-0,13;55;1,13;47;0,41;44;-0,09;46;-0,34;90;
VIST Gunn Tove - HESKJE Torild;208;0,15;-0,00;0,16;0,08;99;  0,23;108;0,69;49;-0,52;50;0,10;53;0,05;55;0,16;108;
ZALAI Agnes - HEGEDUS Orsolya;128;0,14;0,02;0,13;0,21;61;  0,05;66;0,65;33;-0,32;28;0,18;31;-0,03;35;-0,02;66;
TAL Dana - TAL Noga;208;0,14;-0,07;0,21;0,48;108;  -0,09;99;0,91;56;0,00;52;0,02;44;0,15;55;-0,18;99;
WENNING Karin - GROMANN Ingrid;176;0,11;0,14;-0,03;0,46;79;  -0,43;97;0,54;40;0,39;39;0,02;48;0,21;49;-0,54;97;
IHER Mirjam - ORAS Maarja;208;0,11;0,08;0,03;0,39;89;  -0,24;117;0,96;43;-0,14;46;0,02;54;0,32;63;-0,42;117;
O'KEEFFE-BROWN Rebecca - PENDER Gilda;160;0,11;0,22;-0,11;0,06;71;  -0,25;86;0,27;34;-0,14;37;-0,16;43;0,10;43;-0,22;86;
HARALDSDOTTIR BENDER Maria - INGOLFSDOTTIR Harpa Fold;192;0,09;-0,16;0,25;0,16;88;  0,33;104;0,01;43;0,31;45;-0,13;45;0,09;59;0,33;104;
FITZGERALD Jeannie - KENNY Joan;208;0,07;0,01;0,06;0,06;107;  0,07;100;-0,04;55;0,17;52;0,07;44;0,01;56;0,03;100;
FUGLESTAD Ann Karin - HARDING Marianne;192;0,04;-0,05;0,09;0,04;95;  0,15;97;-0,17;43;0,21;52;-0,14;40;0,31;57;0,02;97;
LAJOS Hanka - SZUCS Villo;287;0,04;0,03;0,01;0,24;151;  -0,26;134;0,50;73;0,01;78;-0,11;70;-0,01;64;-0,19;134;
BILDE Dorte Cilleborg - BUUS THOMSEN Anita;288;0,02;-0,24;0,27;0,39;141;  0,15;146;0,24;84;0,61;57;0,35;73;0,09;73;-0,07;146;
ROSSARD Martine - TARTARIN Anne-Laure;112;0,00;-0,19;0,19;-0,01;57;  0,40;54;-0,83;26;0,67;31;0,02;28;0,40;26;0,20;54;
DE MAGALHAES PEREIRA Ana - OLIVEIRA Anabela;256;-0,01;0,06;-0,07;0,00;119;  -0,13;134;0,08;55;-0,06;64;-0,14;69;0,18;65;-0,15;134;
