Players;Count;IMPs;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;Lead1;#;Lead2;#;Play;#
GUERRAOUI Farida - LAHLOU Fatim;16;1,38;1,02;0,36;1,15;8;  -0,43;8;-2,25;4;4,54;4;0,10;4;1,21;4;-1,09;8;
BALDYSZ Cathy - BALDYSZ Sophia;240;1,07;0,46;0,62;0,50;125;  0,75;114;0,97;71;-0,11;54;0,18;64;0,12;50;0,60;114;
SARNIAK Anna - KAZMUCHA Danuta;240;0,83;0,30;0,53;0,94;123;  0,10;116;1,29;66;0,53;57;0,17;61;-0,29;55;0,15;116;
PAOLUZI Simonetta - CHAVARRIA Margherita;304;0,80;0,25;0,56;0,25;159;  0,91;144;0,24;82;0,26;77;0,45;72;0,27;72;0,55;144;
OZBAY Irem - OZGUR Hatice;256;0,79;0,25;0,54;0,53;142;  0,58;111;0,92;67;0,17;75;0,11;70;0,14;41;0,46;111;
BAKER Lynn - McCALLUM Karen;224;0,68;0,37;0,31;0,22;126;  0,41;98;-0,14;65;0,62;61;-0,15;44;0,34;54;0,29;98;
DRAPER Catherine - FAWCETT Gillian;240;0,62;0,46;0,16;0,16;114;  0,16;124;0,50;52;-0,13;62;0,07;62;-0,21;62;0,23;124;
ZALEWSKA Joanna - DUFRAT Katarzyna;256;0,60;0,13;0,47;0,75;123;  0,22;132;0,43;70;1,16;53;0,32;60;0,09;72;0,02;132;
LARSSON Jessica - BERTHEAU Kathrine;256;0,57;0,34;0,23;0,31;119;  0,16;136;0,36;59;0,27;60;-0,38;61;0,09;75;0,28;136;
RASMUSSEN Helle - BILDE Lone;320;0,56;0,40;0,15;0,41;167;  -0,13;151;0,26;84;0,55;83;0,30;61;-0,08;90;-0,20;151;
VIST Gunn Tove - HESKJE Torild;256;0,51;0,61;-0,10;-0,07;137;  -0,14;119;-0,32;71;0,21;66;0,10;53;0,16;66;-0,28;119;
HALLQVIST Louise - JOHANSSON Ylva;208;0,50;0,25;0,26;0,39;116;  0,09;92;-0,02;57;0,79;59;0,07;49;-0,06;43;0,08;92;
RIMSTEDT Sandra - SEAMON-MOLSON Janice;256;0,48;0,22;0,26;0,24;139;  0,28;116;-0,03;76;0,56;63;0,20;60;0,22;56;0,08;116;
BROCK Sally - BROWN Fiona;256;0,42;0,24;0,18;0,07;117;  0,28;138;0,03;68;0,13;49;0,34;67;0,32;71;-0,05;138;
SENIOR Nevena - DHONDY Heather;240;0,40;0,02;0,39;0,18;135;  0,65;105;0,92;66;-0,53;69;0,39;48;0,26;57;0,34;105;
POLLACK Rozanne - BJERKAN Cheri;256;0,39;0,13;0,26;0,63;122;  -0,07;134;0,27;61;0,99;61;0,33;72;-0,25;62;-0,14;134;
KOLESNIK Emma - LIN Amber;224;0,39;0,20;0,19;0,61;117;  -0,27;104;0,76;66;0,41;51;0,15;49;-0,16;55;-0,26;104;
FISCHER Brigitta - HEGEDUS Orsolya;256;0,39;0,17;0,22;-0,07;131;  0,53;125;0,01;69;-0,17;62;0,25;68;0,11;57;0,34;125;
WENNING Karin - GROMANN Ingrid;224;0,30;0,10;0,20;0,13;115;  0,28;109;0,22;55;0,04;60;0,07;59;0,17;50;0,16;109;
AVON Danielle - HUGON Elisabeth;256;0,27;0,11;0,16;0,21;131;  0,12;123;0,20;74;0,22;57;0,16;67;0,05;56;0,01;123;
GUERRAOUI Farida - HACHIMI Hayet;272;0,22;0,50;-0,28;-0,52;129;  -0,07;140;-0,82;56;-0,29;73;0,02;72;0,20;68;-0,17;140;
SMITH Julie - HARRIS Judy;256;0,20;0,14;0,06;-0,02;126;  0,15;127;0,15;72;-0,24;54;0,08;60;-0,34;67;0,29;127;
PISCITELLI Francesca - SACCAVINI Ilaria;176;0,19;0,07;0,12;0,10;86;  0,14;90;0,08;47;0,12;39;0,06;57;-0,06;33;0,12;90;
KANDOLU Ozlem - OZAN Eren;223;0,18;0,21;-0,03;-0,32;117;  0,30;105;-0,18;55;-0,44;62;-0,15;53;0,10;52;0,32;105;
CUMPSTONE Karen - EATON Joan;224;0,18;-0,11;0,29;0,20;105;  0,37;116;0,17;51;0,22;54;0,11;66;-0,09;50;0,35;116;
JACOB Ella - MOSKOVSKY Ellena;224;0,16;0,36;-0,20;-0,24;103;  -0,17;121;-0,19;51;-0,29;52;0,09;64;-0,03;57;-0,20;121;
GOMBERT Sylvie - HALFON Donatella;272;0,15;0,28;-0,13;-0,12;145;  -0,13;127;-0,11;67;-0,13;78;0,05;65;-0,05;62;-0,13;127;
CLEMENTSSON Sanna - OVELIUS Emma;272;0,15;0,08;0,07;-0,12;135;  0,26;135;-0,01;66;-0,23;69;-0,01;71;0,05;64;0,24;135;
CLEMENT Muriel - LEVY Anne-Frederique;208;0,15;0,11;0,04;-0,14;100;  0,20;107;-0,49;46;0,17;54;-0,14;56;0,03;51;0,26;107;
FUGLESTAD Ann Karin - HARDING Marianne;272;0,12;-0,09;0,21;-0,05;145;  0,51;127;0,11;75;-0,23;70;0,32;64;0,01;63;0,34;127;
WENNEVOLD Ida - HELNESS Gunn;208;0,12;0,07;0,04;0,07;116;  0,01;91;0,05;59;0,09;57;0,06;46;-0,43;45;0,19;91;
