Players;Count;Butler;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;Lead1;#;Lead2;#;Play;#
LO PRESTI Fabio - PULGA Ruggero;10;2,40;1,06;1,34;0,30;4;  2,44;5;0,34;2;0,26;2;-0,13;1;0,37;4;2,17;5;
BACH Peer - ZHU Jianyu;30;2,33;1,41;0,92;2,26;10;  0,26;20;0,12;4;3,69;4;0,04;12;0,06;8;0,21;20;
ANDERSEN Michael Krogh - BILDE Dorte Cilleborg;10;2,20;1,52;0,68;-0,67;3;  1,26;7;-0,40;2;-1,21;2;-0,05;1;-0,00;6;1,27;7;
HAMPSON Geoff - BAKHSHI David;40;1,63;1,09;0,53;1,23;21;  -0,24;19;1,61;14;0,48;14;-0,01;11;-0,34;8;-0,09;19;
LAURIA Lorenzo - VERSACE Alfredo;70;1,60;1,31;0,29;0,51;28;  0,14;42;0,72;16;0,24;16;0,69;17;-0,59;25;0,21;42;
LENGY Assaf - BAREKET Ilan;50;1,46;-0,02;1,48;0,95;21;  1,85;29;0,27;13;2,06;13;-0,02;16;0,98;13;1,42;29;
BESSIS Thomas - VOLCKER Frederic;69;1,45;0,79;0,66;1,20;33;  0,16;36;1,69;16;0,73;16;-0,12;21;-0,04;15;0,25;36;
TEIXEIRA Miguel - TIMOTEO Reinaldo;10;1,40;1,01;0,39;0,69;6;  -0,08;4;0,79;3;0,60;3;0,18;4;-;0;-0,26;4;
PACHTMAN Ron - ZATORSKI Piotr;70;1,37;0,57;0,81;1,35;39;  0,11;31;2,00;26;0,06;26;0,27;16;0,23;15;-0,13;31;
BAKKE Christian - SIMONSEN Steffen Fredrik;90;1,34;0,30;1,05;1,99;49;  -0,08;41;1,11;27;3,08;27;-0,20;22;0,12;19;-0,03;41;
MORAWSKI Dariusz - REESS Vanessa;20;1,20;0,41;0,79;0,91;11;  0,64;9;0,01;7;2,49;7;0,35;5;0,61;4;0,18;9;
