Players;Count;Butler;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;Lead1;#;Lead2;#;Play;#
BAKKE Christian - SIMONSEN Steffen Fredrik;110;0.96;0.22;0.75;0.79;55;  0.70;55;1.18;12;0.69;12;0.21;39;-0.25;16;0.62;55;
EIDE Harald - EIDE Lars;110;0.91;0.00;0.91;1.47;55;  0.34;55;2.26;11;1.27;11;0.29;13;-0.12;42;0.37;55;
LAURIA Lorenzo - VERSACE Alfredo;110;0.59;0.35;0.24;0.22;53;  0.27;57;0.16;45;0.55;45;-0.13;26;0.34;31;0.14;57;
MADALA Agustin - BIANCHEDI Alejandro;110;0.37;-0.04;0.41;0.95;51;  -0.06;59;0.35;36;2.40;36;0.02;42;-0.47;17;0.06;59;
DUBOIN Giorgio - BILDE Dennis;110;0.30;-0.12;0.42;0.71;55;  0.14;55;0.82;16;0.66;16;0.12;41;0.47;14;-0.07;55;
PACHTMAN Ron - ZATORSKI Piotr;268;0.22;0.15;0.07;0.09;135;  0.06;133;-0.04;94;0.39;94;0.17;40;0.20;93;-0.13;133;
PILON Dominique - TOFFIER Philippe;110;0.20;-0.46;0.66;0.74;55;  0.59;55;0.77;27;0.72;27;-0.81;8;0.26;47;0.49;55;
DUBININ Alexander - GROMOV Andrey;268;0.05;-0.10;0.15;0.05;137;  0.25;131;0.11;91;-0.07;91;0.03;93;0.45;38;0.10;131;
LENGY Assaf - BAREKET Ilan;268;-0.05;0.10;-0.15;-0.25;131;  -0.05;137;-0.69;38;-0.07;38;0.10;91;0.00;46;-0.12;137;
HOYLAND Sam Inge - HOYLAND Sven Olai;110;-0.20;0.46;-0.66;-0.59;55;  -0.74;55;2.09;8;-1.04;8;-0.38;28;-0.31;27;-0.40;55;
LEVIN Amir - ROLL Yossi;268;-0.22;-0.15;-0.07;-0.06;133;  -0.09;135;-0.21;93;0.30;93;-0.11;94;0.00;41;-0.02;135;
DONEV Grozio - DRAGANOV Zhivko;110;-0.30;0.12;-0.42;-0.14;55;  -0.71;55;-0.55;14;-0.00;14;0.18;16;-0.14;39;-0.66;55;
VANCHEV Angel - ZAHARIEV Zahari;110;-0.37;0.04;-0.41;0.06;59;  -0.95;51;0.17;42;-0.20;42;-0.59;15;0.45;36;-1.10;51;
GRUDE Tor Eivind - JOHANSEN Lars Arthur;110;-0.59;-0.35;-0.24;-0.27;57;  -0.22;53;-0.82;26;0.20;26;-0.63;8;0.04;45;-0.16;53;
MARILL Philippe - CRONIER Philippe;110;-0.91;-0.00;-0.91;-0.34;55;  -1.47;55;-0.97;13;-0.15;13;-0.70;44;-0.17;11;-0.88;55;
HUGONY Fabrizio - VINCI Francesco Saverio;110;-0.96;-0.22;-0.75;-0.70;55;  -0.79;55;-0.33;16;-0.85;16;-1.15;12;0.01;43;-0.55;55;

